date,open,high,low,close,tick_volume
2010-01-01,0.94335,0.94353,0.94265,0.94272,1740.4
2010-01-03,0.94392,0.94491,0.9389,0.9393,2598.29
2010-01-04,0.93925,0.95127,0.93617,0.94973,29840.33
2010-01-05,0.94971,0.95166,0.94568,0.9472,30151.47
2010-01-06,0.94739,0.95098,0.94652,0.94906,30376.87
2010-01-07,0.94905,0.95382,0.94604,0.94872,30973.3
2010-01-08,0.94907,0.95389,0.94316,0.9515,30369.79
2010-01-10,0.95343,0.95708,0.95214,0.95532,3993.22
2010-01-11,0.95605,0.96287,0.95406,0.96071,32683.65
2010-01-12,0.96037,0.96114,0.95381,0.95608,32955.1
2010-01-13,0.95633,0.96019,0.94984,0.95225,33387.23
2010-01-14,0.95214,0.96047,0.95121,0.95272,33463.38
2010-01-15,0.95279,0.95319,0.94716,0.9489,32854.32
2010-01-17,0.94893,0.94966,0.94679,0.94881,3858.16
2010-01-18,0.94881,0.9516,0.94502,0.95008,34632.64
2010-01-19,0.95002,0.95518,0.94543,0.95163,36729.54
2010-01-20,0.95156,0.95738,0.94647,0.95212,37068.23
2010-01-21,0.95211,0.95688,0.94586,0.94981,37306.86
2010-01-22,0.94945,0.95704,0.94457,0.95058,36168.11
2010-01-24,0.95078,0.95562,0.9504,0.95484,4842.68
2010-01-25,0.9546,0.95944,0.95326,0.95597,38804.52
2010-01-26,0.95586,0.95804,0.95003,0.95533,40002.21
2010-01-27,0.95539,0.96054,0.95106,0.95249,40637.87
2010-01-28,0.9524,0.95658,0.95077,0.95221,41032.13
2010-01-29,0.95242,0.95443,0.94402,0.94455,39283.57
2010-01-31,0.94467,0.94646,0.93912,0.94619,5609.93
2010-02-01,0.94598,0.94721,0.94155,0.94657,40726.57
2010-02-02,0.94634,0.94654,0.92893,0.93824,41530.52
2010-02-03,0.9377,0.94103,0.93424,0.93614,41877.46
2010-02-04,0.93625,0.93646,0.92535,0.93095,42559.55
2010-02-05,0.93058,0.93202,0.92294,0.92878,41497.58
2010-02-07,0.92944,0.93091,0.92608,0.92716,5968.06
2010-02-08,0.9272,0.93059,0.92492,0.92741,44932.42
2010-02-09,0.92718,0.93814,0.92716,0.93605,45633.52
2010-02-10,0.93599,0.9372,0.92829,0.93085,46260.22
2010-02-11,0.93083,0.94122,0.92972,0.93459,47050.0
2010-02-12,0.93459,0.93624,0.92726,0.93085,45012.98
2010-02-14,0.93112,0.93339,0.9311,0.93267,5896.93
2010-02-15,0.93261,0.93413,0.92997,0.93243,46012.73
2010-02-16,0.93198,0.94178,0.93112,0.93989,71101.07
2010-02-17,0.93989,0.94309,0.93778,0.93997,57168.88
2010-02-18,0.93998,0.94043,0.93257,0.93368,60924.25
2010-02-19,0.93364,0.93926,0.93216,0.93355,55095.49
2010-02-21,0.93397,0.93581,0.93365,0.9353,5814.39
2010-02-22,0.93527,0.93914,0.93257,0.93783,50021.78
2010-02-23,0.93787,0.94255,0.93717,0.94106,59739.25
2010-02-24,0.94138,0.94362,0.93718,0.94103,61440.67
2010-02-25,0.94106,0.94255,0.93684,0.94084,69271.09
2010-02-26,0.94094,0.94745,0.93948,0.94055,57095.81
2010-02-28,0.94345,0.94632,0.94072,0.94441,4389.62
2010-03-01,0.94443,0.94692,0.93671,0.93706,61694.98
2010-03-02,0.93707,0.93916,0.93159,0.93569,67973.0
2010-03-03,0.93564,0.93736,0.93095,0.93365,56901.94
2010-03-04,0.93369,0.93406,0.92533,0.92717,55098.17
2010-03-05,0.92715,0.93584,0.9267,0.93207,43686.0
2010-03-07,0.93227,0.93479,0.93142,0.93315,5630.08
2010-03-08,0.93322,0.93769,0.93269,0.93331,54433.97
2010-03-09,0.93336,0.94044,0.93289,0.93945,64070.09
2010-03-10,0.93938,0.94156,0.93645,0.93669,53387.16
2010-03-11,0.93669,0.94183,0.9347,0.93682,56235.61
2010-03-12,0.93689,0.94021,0.93042,0.93265,54241.36
2010-03-14,0.93355,0.93573,0.93164,0.93233,4360.96
2010-03-15,0.93225,0.93313,0.92896,0.93047,63944.67
2010-03-16,0.93053,0.93384,0.92735,0.93093,56418.83
2010-03-17,0.93102,0.93455,0.92952,0.93242,50744.4
2010-03-18,0.93243,0.93442,0.9287,0.93329,44858.15
2010-03-19,0.93338,0.93787,0.92512,0.9308,59079.87
2010-03-21,0.9307,0.931,0.92739,0.92887,6174.58
2010-03-22,0.9289,0.93637,0.92594,0.93378,77576.62
2010-03-23,0.9338,0.93549,0.93189,0.93296,69792.08
2010-03-24,0.93303,0.93387,0.92944,0.93289,88309.83
2010-03-25,0.93295,0.93306,0.92797,0.9297,80776.33
2010-03-26,0.92964,0.93173,0.92613,0.92762,77349.14
2010-03-28,0.92665,0.92886,0.92613,0.92839,6523.65
2010-03-29,0.92846,0.93692,0.92843,0.93621,69778.91
2010-03-30,0.93621,0.9386,0.93373,0.93648,66084.0
2010-03-31,0.93662,0.93687,0.92687,0.92977,79476.42
2010-04-01,0.92972,0.93058,0.92551,0.92966,66546.99
2010-04-02,0.9296,0.93171,0.92701,0.928,27602.29
2010-04-04,0.92872,0.92955,0.92467,0.92791,4049.94
2010-04-05,0.92837,0.92867,0.92121,0.92148,41384.72
2010-04-06,0.9214,0.9298,0.92049,0.92828,78142.07
2010-04-07,0.9283,0.93262,0.92457,0.93122,71158.96
2010-04-08,0.9312,0.93475,0.9289,0.92975,66294.91
2010-04-09,0.92978,0.9391,0.92796,0.93503,54954.91
2010-04-11,0.93423,0.9411,0.9342,0.93932,10323.64
2010-04-12,0.93925,0.93958,0.92616,0.92919,64064.91
2010-04-13,0.92917,0.93095,0.92668,0.9296,76935.77
2010-04-14,0.92962,0.93446,0.92919,0.93409,77943.83
2010-04-15,0.93399,0.93671,0.93045,0.93546,70467.33
2010-04-16,0.93543,0.94002,0.93206,0.93602,83524.48
2010-04-18,0.93545,0.93631,0.93194,0.93612,9300.7
2010-04-19,0.93556,0.93987,0.93062,0.93862,96219.39
2010-04-20,0.93848,0.94444,0.9277,0.92817,95654.32
2010-04-21,0.9282,0.92909,0.92496,0.92719,100204.62
2010-04-22,0.92723,0.92851,0.92372,0.92685,102933.22
2010-04-23,0.92686,0.92817,0.91765,0.92652,95466.25
2010-04-25,0.92618,0.92673,0.92265,0.9259,4866.38
2010-04-26,0.9259,0.93027,0.92569,0.92841,74677.79
2010-04-27,0.92851,0.93327,0.9248,0.9303,112075.59
2010-04-28,0.9303,0.93585,0.92915,0.9331,99696.92
2010-04-29,0.9331,0.93451,0.92965,0.93363,88934.49
2010-04-30,0.93366,0.94326,0.93239,0.9402,52730.66
2010-05-02,0.93945,0.9407,0.93462,0.94019,8751.43
2010-05-03,0.94022,0.9431,0.93541,0.9364,134914.92
2010-05-04,0.93645,0.93773,0.92963,0.93274,248606.84
2010-05-05,0.93271,0.9357,0.9292,0.93485,281860.7
2010-05-06,0.9349,0.9415,0.92806,0.93165,254960.67
2010-05-07,0.93167,0.93685,0.92074,0.92605,214857.3
2010-05-09,0.92526,0.9329,0.92432,0.92829,19289.11
2010-05-10,0.9282,0.93117,0.92189,0.9226,254432.84
2010-05-11,0.92266,0.92371,0.91213,0.91369,221251.2
2010-05-12,0.9137,0.91459,0.90785,0.91128,206854.53
2010-05-13,0.91129,0.91641,0.9089,0.91465,216055.2
2010-05-14,0.91465,0.92043,0.91304,0.9166,183744.49
2010-05-16,0.91572,0.91719,0.91323,0.91593,18603.58
2010-05-17,0.91596,0.9165,0.90336,0.90545,240078.8
2010-05-18,0.90538,0.90641,0.89501,0.89542,246660.4
2010-05-19,0.8954,0.89686,0.87849,0.88427,284673.59
2010-05-20,0.88417,0.88546,0.86471,0.8729,180715.9
2010-05-21,0.87292,0.88964,0.87286,0.8814,237596.02
2010-05-23,0.88063,0.88491,0.8782,0.87893,28767.68
2010-05-24,0.8789,0.88184,0.87216,0.8755,253505.5
2010-05-25,0.87553,0.8848,0.87194,0.88254,272766.0
2010-05-26,0.88269,0.89015,0.87782,0.88045,253783.1
2010-05-27,0.88058,0.89406,0.88001,0.89064,269274.59
2010-05-28,0.89068,0.89679,0.8859,0.89265,213130.3
2010-05-30,0.8927,0.89362,0.88645,0.89116,13782.75
2010-05-31,0.8911,0.8924,0.87881,0.88035,114418.21
2010-06-01,0.8804,0.88294,0.87102,0.87895,220084.4
2010-06-02,0.87895,0.88025,0.86688,0.87571,163996.02
2010-06-03,0.8757,0.8828,0.87434,0.87783,158978.6
2010-06-04,0.87788,0.88096,0.86865,0.87448,237337.9
2010-06-06,0.87377,0.87452,0.86783,0.86922,22303.53
2010-06-07,0.86917,0.87007,0.85779,0.8605,261293.9
2010-06-08,0.86045,0.86788,0.86,0.86423,301618.89
2010-06-09,0.86423,0.86788,0.86159,0.86655,195776.02
2010-06-10,0.86647,0.87698,0.86382,0.87484,266047.94
2010-06-11,0.87483,0.88035,0.8711,0.87757,241348.7
2010-06-13,0.87702,0.88155,0.87682,0.88126,17584.53
2010-06-14,0.88126,0.88825,0.88078,0.8859,259080.22
2010-06-15,0.88591,0.8883,0.87961,0.88611,246459.1
2010-06-16,0.88608,0.88941,0.88288,0.88435,250972.99
2010-06-17,0.88434,0.89301,0.8822,0.89127,251553.56
2010-06-18,0.89139,0.89462,0.8879,0.88932,224562.47
2010-06-20,0.88983,0.89991,0.887,0.89465,22089.09
2010-06-21,0.89463,0.89985,0.89297,0.89795,230986.8
2010-06-22,0.8979,0.90174,0.89379,0.89579,223041.36
2010-06-23,0.8958,0.91099,0.89455,0.9096,230246.03
2010-06-24,0.90959,0.91099,0.90145,0.90404,228904.42
2010-06-25,0.90406,0.90714,0.89635,0.90395,212834.8
