date,open,high,low,close,tick_volume
2005-01-02,80.249,80.463,80.057,80.293,33385.7
2005-01-03,80.28,80.359,79.583,79.768,431409.2
2005-01-04,79.788,80.342,79.593,79.836,434896.8
2005-01-05,79.844,80.021,79.4,79.48,429474.0
2005-01-06,79.473,80.028,79.373,79.925,432150.7
2005-01-07,79.908,79.962,79.134,79.299,409942.8
2005-01-09,79.246,79.463,79.13,79.353,34659.0
2005-01-10,79.333,79.464,78.85,79.046,431885.8
2005-01-11,79.073,79.43,78.592,78.86,434600.7
2005-01-12,78.897,78.96,77.926,78.478,433027.1
2005-01-13,78.47,78.723,78.168,78.388,432627.5
2005-01-14,78.401,78.441,77.105,77.407,407125.6
2005-01-16,77.461,77.511,77.231,77.308,33652.9
2005-01-17,77.288,77.752,77.085,77.238,431821.6
2005-01-18,77.236,77.7,76.945,77.173,287409.9
2005-01-19,77.189,78.392,77.17,78.183,428061.3
2005-01-20,78.195,78.655,77.866,78.415,428357.4
2005-01-21,78.432,79.378,78.247,78.982,404812.3
2005-01-23,79.01,79.238,78.829,79.142,34875.1
2005-01-24,79.172,79.395,78.818,79.0,429082.3
2005-01-25,79.0,79.747,78.911,79.607,424540.4
2005-01-26,79.616,79.91,79.183,79.82,436205.2
2005-01-27,79.817,80.285,79.705,79.929,431542.5
2005-01-28,79.95,80.279,79.717,80.0,406416.3
2005-01-30,80.059,80.231,79.991,80.169,33925.1
2005-01-31,80.145,80.462,79.946,80.241,430278.8
2005-02-01,80.267,80.371,79.823,80.271,429532.2
2005-02-02,80.292,80.79,80.0,80.601,431191.6
2005-02-03,80.591,80.839,80.265,80.5,429017.3
2005-02-04,80.493,80.538,79.87,80.18,410129.1
2005-02-06,80.197,80.285,79.947,79.969,31441.3
2005-02-07,79.961,80.815,79.79,80.49,434884.6
2005-02-08,80.444,81.104,80.173,80.877,436834.2
2005-02-09,80.878,81.537,80.591,81.421,437078.8
2005-02-10,81.408,82.956,81.378,82.673,434237.1
2005-02-11,82.69,83.179,82.514,83.07,411930.1
2005-02-13,83.023,83.023,82.747,82.892,32600.7
2005-02-14,82.877,82.918,82.198,82.673,436449.5
2005-02-15,82.674,82.807,81.986,82.144,437969.9
2005-02-16,82.141,82.771,82.036,82.627,428948.4
2005-02-17,82.607,83.2,82.506,82.693,432301.1
2005-02-18,82.69,83.418,82.556,83.246,408622.0
2005-02-20,83.255,83.495,83.203,83.308,33301.8
2005-02-21,83.282,83.408,83.042,83.22,430327.0
2005-02-22,83.227,83.312,82.349,82.705,434076.0
2005-02-23,82.694,83.032,82.246,82.439,431925.1
2005-02-24,82.457,83.039,82.388,82.635,434844.3
2005-02-25,82.621,82.834,82.192,82.718,409274.5
2005-02-27,82.734,82.811,82.47,82.569,33105.1
2005-02-28,82.557,82.917,82.396,82.642,427349.9
2005-03-01,82.662,82.682,81.704,82.055,434648.1
2005-03-02,82.068,82.193,81.492,81.909,432384.2
2005-03-03,81.894,82.456,81.817,82.31,434657.3
2005-03-04,82.302,82.978,82.235,82.801,408188.5
2005-03-06,82.812,82.812,82.581,82.603,33494.1
2005-03-07,82.608,83.399,82.525,83.293,429086.1
2005-03-08,83.312,83.655,83.118,83.39,434496.4
2005-03-09,83.365,83.519,82.221,82.323,432241.8
2005-03-10,82.347,82.968,81.946,82.183,435944.8
2005-03-11,82.183,82.586,81.959,82.42,410723.5
2005-03-13,82.436,82.455,82.21,82.363,34116.0
2005-03-14,82.347,82.861,82.311,82.677,431478.5
2005-03-15,82.663,82.743,82.327,82.518,433701.9
2005-03-16,82.487,82.839,82.062,82.743,430198.9
2005-03-17,82.755,82.977,82.409,82.878,431863.3
2005-03-18,82.852,83.272,82.64,83.235,402702.6
2005-03-20,83.229,83.229,83.037,83.057,33733.5
2005-03-21,83.051,83.205,82.412,82.505,430919.5
2005-03-22,82.505,83.241,82.123,82.141,436276.7
2005-03-23,82.131,82.236,81.513,81.806,432446.5
2005-03-24,81.795,82.291,81.759,82.0,430034.8
2005-03-25,82.02,82.319,81.912,82.037,405254.1
2005-03-27,82.063,82.281,81.987,82.172,34204.3
2005-03-28,82.121,82.586,82.01,82.461,441116.7
2005-03-29,82.423,83.088,82.357,83.031,441628.0
2005-03-30,83.021,83.1,82.646,82.848,442193.1
2005-03-31,82.887,83.015,82.488,82.857,437847.7
2005-04-01,82.89,83.149,82.592,82.902,416135.5
2005-04-03,82.86,82.88,82.657,82.792,36907.4
2005-04-04,82.796,83.191,82.712,82.961,445737.5
2005-04-05,82.958,83.373,82.694,82.75,441235.1
2005-04-06,82.765,83.238,82.509,83.0,439938.8
2005-04-07,83.005,83.403,82.817,83.195,438268.7
2005-04-08,83.225,83.787,83.017,83.491,410925.8
2005-04-10,83.476,83.626,83.408,83.482,36295.2
2005-04-11,83.473,83.768,83.362,83.433,443008.8
2005-04-12,83.42,83.89,83.289,83.459,438879.8
2005-04-13,83.456,83.682,83.224,83.37,439281.0
2005-04-14,83.372,83.617,83.111,83.17,441755.4
2005-04-15,83.156,83.215,82.657,82.772,418931.5
2005-04-17,82.758,82.78,82.592,82.666,36772.6
2005-04-18,82.662,82.702,82.01,82.382,440438.2
2005-04-19,82.397,82.518,82.036,82.443,437986.6
2005-04-20,82.467,82.949,82.315,82.916,445312.1
2005-04-21,82.894,83.264,82.6,82.818,438422.6
2005-04-22,82.818,83.109,82.613,82.712,412836.3
2005-04-24,82.669,82.669,82.225,82.52,36070.3
2005-04-25,82.527,82.723,82.171,82.367,443068.0
2005-04-26,82.364,82.729,82.256,82.574,443971.3
2005-04-27,82.571,82.631,81.958,82.262,442188.6
2005-04-28,82.274,82.677,82.145,82.547,441923.6
2005-04-29,82.556,82.648,81.684,81.801,417235.6
2005-05-01,81.885,82.017,81.831,81.936,35851.5
2005-05-02,81.918,82.229,81.722,81.84,441861.6
2005-05-03,81.79,81.901,80.991,81.193,439615.5
2005-05-04,81.183,81.717,80.976,81.517,440028.7
2005-05-05,81.512,81.742,81.226,81.585,441926.7
2005-05-06,81.589,81.745,81.17,81.48,415846.0
2005-05-08,81.433,81.594,81.237,81.551,36546.5
2005-05-09,81.575,81.746,81.287,81.646,441177.3
2005-05-10,81.667,82.003,81.608,81.849,441597.9
2005-05-11,81.877,82.259,81.61,81.73,438554.1
2005-05-12,81.7,82.114,81.62,81.798,437083.5
2005-05-13,81.772,81.898,81.461,81.671,416867.3
2005-05-15,81.704,81.754,81.457,81.562,35583.5
2005-05-16,81.538,81.602,80.573,80.672,436607.5
2005-05-17,80.65,81.283,80.609,81.072,441325.4
2005-05-18,81.091,81.488,80.91,81.286,436441.4
2005-05-19,81.266,81.603,81.143,81.429,443169.7
