date,open,high,low,close,tick_volume
2006-12-12,1.13948,1.14106,1.13381,1.13743,17371.4
2006-12-13,1.13725,1.1413,1.13152,1.13319,17715.4
2006-12-14,1.13327,1.14064,1.13018,1.1367,17546.4
2006-12-15,1.13684,1.13695,1.12985,1.13151,16492.0
2006-12-16,1.13151,1.13151,1.13151,1.13151,0.0
2006-12-17,1.13151,1.13464,1.13151,1.13248,1268.4
2006-12-18,1.13242,1.1344,1.12687,1.12939,16869.4
2006-12-19,1.12939,1.13085,1.12291,1.12519,17881.2
2006-12-20,1.12516,1.13196,1.12062,1.12852,18287.4
2006-12-21,1.12863,1.13281,1.12331,1.1234,18110.2
2006-12-22,1.12323,1.12676,1.11549,1.11773,15882.0
2006-12-23,1.11773,1.11773,1.11773,1.11773,0.0
2006-12-24,1.11773,1.11831,1.11773,1.11831,0.0
2006-12-25,1.11831,1.11831,1.11831,1.11831,0.0
2006-12-26,1.11831,1.11895,1.11291,1.1165,10634.8
2006-12-27,1.11657,1.12026,1.11372,1.11892,16857.0
2006-12-28,1.11896,1.12272,1.11565,1.11916,16649.8
2006-12-29,1.11919,1.12266,1.11531,1.11608,15315.8
2006-12-30,1.11608,1.11608,1.11608,1.11608,0.0
2006-12-31,1.11608,1.116622,1.11608,1.116622,0.0
2007-01-01,1.116622,1.116622,1.116622,1.116622,0.0
2007-01-02,1.116622,1.12602,1.116622,1.12554,11336.2
2007-01-03,1.12562,1.12773,1.11546,1.1205,17803.4
2007-01-04,1.12046,1.12596,1.11821,1.12518,17656.2
2007-01-05,1.1253,1.13634,1.1238,1.13241,16976.0
2007-01-06,1.13241,1.13241,1.13241,1.13241,0.0
2007-01-07,1.13241,1.13374,1.12955,1.13373,1312.8
2007-01-08,1.134,1.13859,1.12841,1.12926,17551.0
2007-01-09,1.12931,1.13178,1.12537,1.12708,18063.0
2007-01-10,1.1272,1.13207,1.12608,1.12921,17861.0
2007-01-11,1.12928,1.13736,1.12607,1.13128,18707.4
2007-01-12,1.1312,1.13478,1.12605,1.13302,16139.2
2007-01-13,1.13302,1.13302,1.13302,1.13302,0.0
2007-01-14,1.13302,1.13302,1.13061,1.13236,1141.4
2007-01-15,1.13251,1.13448,1.12276,1.12466,17263.4
2007-01-16,1.12506,1.134,1.12272,1.13305,18287.6
2007-01-17,1.13316,1.13833,1.13035,1.13598,18022.0
2007-01-18,1.13611,1.13741,1.13057,1.1347,18176.0
2007-01-19,1.13477,1.13764,1.13042,1.13389,16456.2
2007-01-20,1.13389,1.13389,1.13389,1.13389,0.0
2007-01-21,1.13389,1.13567,1.1332,1.13477,1082.2
2007-01-22,1.13487,1.13641,1.1239,1.12578,17531.4
2007-01-23,1.12586,1.13026,1.12284,1.12979,17870.2
2007-01-24,1.12982,1.13031,1.11156,1.11415,19057.4
2007-01-25,1.11449,1.1156,1.10656,1.10909,19060.2
2007-01-26,1.10953,1.11547,1.10734,1.10972,16448.0
2007-01-27,1.10972,1.10972,1.10972,1.10972,0.0
2007-01-28,1.10972,1.11253,1.10972,1.11203,1219.6
2007-01-29,1.11216,1.11328,1.10452,1.10854,17499.6
2007-01-30,1.10889,1.12304,1.10546,1.12155,18142.4
2007-01-31,1.12172,1.13119,1.11921,1.1239,18677.0
2007-02-01,1.12402,1.13812,1.12299,1.13274,18978.0
2007-02-02,1.13291,1.1407,1.12965,1.13579,16751.6
2007-02-03,1.13579,1.13579,1.13579,1.13579,0.0
2007-02-04,1.13579,1.13579,1.12915,1.13138,1351.6
2007-02-05,1.13147,1.13736,1.12712,1.13252,17055.8
2007-02-06,1.13263,1.14402,1.13167,1.1411,16299.4
2007-02-07,1.14087,1.14526,1.13085,1.13176,17206.0
2007-02-08,1.13177,1.14351,1.12844,1.14017,16865.6
2007-02-09,1.14044,1.1443,1.13322,1.136,14315.8
2007-02-10,1.136,1.136,1.136,1.136,0.0
2007-02-11,1.136,1.137123,1.136,1.137123,0.0
2007-02-12,1.137123,1.137123,1.12405,1.1284,8573.4
2007-02-13,1.12847,1.13033,1.1252,1.12853,17159.6
