date,open,high,low,close,tick_volume
2005-10-07,1.59797,1.60395,1.59767,1.60152,84410.5
2005-10-09,1.60152,1.60194,1.59964,1.6016,6193.5
2005-10-10,1.60145,1.6019,1.5873,1.58947,111583.9
2005-10-11,1.58941,1.59866,1.5858,1.59264,110464.4
2005-10-12,1.59228,1.59591,1.58923,1.59078,115328.5
2005-10-13,1.59045,1.60289,1.58791,1.6018,117779.9
2005-10-14,1.6019,1.60896,1.59613,1.60418,108669.1
2005-10-16,1.60418,1.60418,1.60068,1.60239,6914.1
2005-10-17,1.60243,1.6091,1.5995,1.60417,116994.1
2005-10-18,1.60411,1.60474,1.59492,1.59558,117916.2
2005-10-19,1.59564,1.60028,1.59177,1.59593,119272.1
2005-10-20,1.59585,1.60049,1.58764,1.59956,118788.6
2005-10-21,1.59971,1.60342,1.59317,1.5948,109735.3
2005-10-22,1.5948,1.5948,1.5948,1.5948,0.0
2005-10-23,1.5948,1.59688,1.59419,1.5951,7001.3
2005-10-24,1.59501,1.59978,1.59224,1.59497,116643.5
2005-10-25,1.5949,1.60358,1.59131,1.59901,118887.7
2005-10-26,1.59903,1.60297,1.59514,1.59971,119446.0
2005-10-27,1.59947,1.60386,1.59564,1.60264,118462.5
2005-10-28,1.60262,1.61391,1.60218,1.61004,107172.4
2005-10-29,1.61004,1.61004,1.61004,1.61004,0.0
2005-10-30,1.61004,1.61082,1.60803,1.6093,6364.4
2005-10-31,1.60929,1.61043,1.60077,1.60294,116193.0
2005-11-01,1.60291,1.61991,1.60202,1.61757,118727.1
2005-11-02,1.61748,1.62887,1.61577,1.62608,117856.9
2005-11-03,1.62603,1.62801,1.61309,1.61577,114874.9
2005-11-04,1.61566,1.62239,1.61,1.6106,113271.9
2005-11-05,1.6106,1.6106,1.6106,1.6106,0.0
2005-11-06,1.6106,1.61225,1.60979,1.61008,5920.4
2005-11-07,1.60988,1.61404,1.60539,1.60817,120240.1
2005-11-08,1.60828,1.6088,1.59911,1.60312,118636.8
2005-11-09,1.60296,1.60469,1.5944,1.59907,117088.4
2005-11-10,1.59914,1.60795,1.59738,1.59838,117809.5
2005-11-11,1.5985,1.60061,1.59273,1.59924,108605.7
2005-11-12,1.59924,1.59924,1.59924,1.59924,0.0
2005-11-13,1.59924,1.5995,1.59924,1.5995,0.0
2005-11-14,1.59904,1.6081,1.59862,1.60522,117113.0
2005-11-15,1.60521,1.608,1.5951,1.60109,119054.8
2005-11-16,1.60095,1.60485,1.5938,1.59719,119920.8
2005-11-17,1.59699,1.60116,1.59241,1.60003,120932.0
2005-11-18,1.59982,1.60713,1.59413,1.604,115449.8
2005-11-19,1.604,1.604,1.604,1.604,0.0
2005-11-20,1.604,1.60748,1.60256,1.60403,8670.4
2005-11-21,1.60397,1.60943,1.59053,1.59303,118976.8
2005-11-22,1.59305,1.60246,1.59241,1.60225,120427.7
2005-11-23,1.60203,1.60641,1.59545,1.59911,118989.2
2005-11-24,1.59902,1.60131,1.59058,1.59718,119784.4
2005-11-25,1.59704,1.59963,1.59062,1.59235,114292.0
2005-11-26,1.59235,1.59235,1.59235,1.59235,0.0
2005-11-27,1.59235,1.59522,1.5908,1.594,7558.7
2005-11-28,1.59396,1.60157,1.59106,1.59757,120401.1
2005-11-29,1.59775,1.59895,1.59062,1.59445,121109.7
2005-11-30,1.5944,1.59826,1.59019,1.59335,119409.3
2005-12-01,1.59319,1.596,1.57472,1.58103,118418.5
2005-12-02,1.58095,1.58125,1.56244,1.5658,113645.8
2005-12-03,1.5658,1.5658,1.5658,1.5658,0.0
2005-12-04,1.5658,1.56859,1.56505,1.56859,7770.9
2005-12-05,1.56852,1.57102,1.56222,1.5691,120454.1
2005-12-06,1.56893,1.57087,1.56122,1.56661,120916.4
2005-12-07,1.56658,1.57625,1.56505,1.56655,120285.2
2005-12-08,1.56654,1.57935,1.5643,1.57519,119838.2
2005-12-09,1.57521,1.57558,1.56841,1.5739,114386.9
2005-12-10,1.5739,1.5739,1.5739,1.5739,0.0
2005-12-11,1.5739,1.57422,1.57217,1.57248,7670.7
2005-12-12,1.57261,1.58662,1.56995,1.58001,119987.6
2005-12-13,1.57996,1.58629,1.57797,1.58575,121142.0
2005-12-14,1.58561,1.59373,1.58511,1.58662,120118.9
2005-12-15,1.58666,1.60732,1.58527,1.60139,121571.5
2005-12-16,1.60025,1.61698,1.5999,1.6149,114229.8
2005-12-17,1.6149,1.6149,1.6149,1.6149,0.0
2005-12-18,1.6149,1.61803,1.58365,1.61667,7499.3
2005-12-19,1.61674,1.62494,1.60806,1.62048,117135.3
2005-12-20,1.62039,1.6221,1.61245,1.6141,120173.7
2005-12-21,1.61412,1.61964,1.60909,1.61058,120311.3
2005-12-22,1.61058,1.62528,1.60934,1.62415,119629.0
2005-12-23,1.62395,1.63215,1.62172,1.628,115065.3
2005-12-24,1.628,1.628,1.628,1.628,0.0
2005-12-25,1.628,1.628,1.628,1.628,0.0
2005-12-26,1.628,1.628,1.61824,1.61853,4691.4
2005-12-27,1.61824,1.63616,1.61732,1.6327,119953.9
2005-12-28,1.63251,1.635,1.62072,1.62312,119963.2
2005-12-29,1.62317,1.62832,1.61421,1.61811,116220.4
2005-12-30,1.61809,1.61971,1.60607,1.6136,114798.3
2005-12-31,1.6136,1.6136,1.6136,1.6136,0.0
2006-01-01,1.6136,1.6136,1.6136,1.6136,0.0
2006-01-02,1.6136,1.61415,1.60902,1.61415,5154.4
2006-01-03,1.61409,1.62596,1.60926,1.62144,121614.0
2006-01-04,1.6214,1.62703,1.61747,1.62135,120723.6
2006-01-05,1.6213,1.62266,1.61534,1.61909,120911.0
2006-01-06,1.61898,1.62417,1.6091,1.6106,114843.4
2006-01-07,1.6106,1.6106,1.6106,1.6106,0.0
2006-01-08,1.6106,1.61258,1.6104,1.6124,7163.0
2006-01-09,1.61236,1.61407,1.60065,1.60478,121765.8
2006-01-10,1.60482,1.61151,1.60283,1.60827,121936.3
2006-01-11,1.60808,1.6102,1.60189,1.60703,120520.1
2006-01-12,1.60684,1.61192,1.5972,1.60475,121458.4
2006-01-13,1.60476,1.60963,1.60035,1.6072,114845.7
2006-01-14,1.6072,1.6072,1.6072,1.6072,0.0
2006-01-15,1.6072,1.60829,1.60401,1.60609,4761.5
2006-01-16,1.60608,1.60957,1.60404,1.60729,120628.9
2006-01-17,1.60707,1.6112,1.6011,1.61011,120550.0
2006-01-18,1.61003,1.62382,1.60872,1.61883,119720.8
2006-01-19,1.61881,1.62335,1.61327,1.61635,121025.5
2006-01-20,1.6163,1.62417,1.60968,1.6221,113671.5
2006-01-21,1.6221,1.6221,1.6221,1.6221,0.0
2006-01-22,1.6221,1.6221,1.6221,1.6221,0.0
2006-01-23,1.6221,1.63382,1.62198,1.63153,100450.9
2006-01-24,1.63121,1.63921,1.63032,1.63232,120113.1
2006-01-25,1.63242,1.63533,1.62393,1.62533,119090.3
2006-01-26,1.62526,1.6271,1.61907,1.62169,121163.3
2006-01-27,1.62159,1.62523,1.60926,1.6132,115559.2
2006-01-28,1.6132,1.6132,1.6132,1.6132,0.0
2006-01-29,1.6132,1.61641,1.61288,1.61394,7655.0
2006-01-30,1.61378,1.61511,1.60938,1.61231,120473.3
2006-01-31,1.61224,1.61316,1.59985,1.60248,119977.5
2006-02-01,1.60231,1.60606,1.59949,1.60152,120675.7
2006-02-02,1.60145,1.60584,1.60076,1.60368,120396.4
2006-02-03,1.60352,1.60715,1.59937,1.6051,114686.2
2006-02-04,1.6051,1.6051,1.6051,1.6051,0.0
2006-02-05,1.6051,1.60675,1.60395,1.60569,6125.8
2006-02-06,1.60577,1.61373,1.60414,1.61187,120902.8
2006-02-07,1.61198,1.62086,1.60848,1.61843,120145.2
2006-02-08,1.61838,1.62452,1.61064,1.61722,120112.8
2006-02-09,1.61728,1.62161,1.61339,1.61727,119676.1
2006-02-10,1.61742,1.62082,1.61002,1.61298,113456.4
2006-02-11,1.61298,1.61298,1.61298,1.61298,0.0
2006-02-12,1.61298,1.61478,1.58915,1.61392,7561.1
2006-02-13,1.61378,1.6155,1.60742,1.61414,120343.5
2006-02-14,1.61404,1.61702,1.60455,1.60752,120623.2
2006-02-15,1.60749,1.61073,1.60257,1.60693,121646.6
2006-02-16,1.60696,1.61285,1.60501,1.60509,119577.8
2006-02-17,1.60516,1.6184,1.60478,1.614,115376.1
