date,open,high,low,close,tick_volume
2005-01-02,1.54457,1.54602,1.54397,1.545,49583.3
2005-01-03,1.54498,1.5477,1.5409,1.54507,616707.9
2005-01-04,1.54468,1.55271,1.54367,1.55091,615561.6
2005-01-05,1.55082,1.55443,1.54691,1.54955,620946.4
2005-01-06,1.54957,1.55112,1.54473,1.54724,626012.6
2005-01-07,1.54727,1.54929,1.54459,1.54603,589373.6
2005-01-09,1.54627,1.548,1.54577,1.54767,70331.2
2005-01-10,1.54769,1.54862,1.54473,1.54616,613666.2
2005-01-11,1.54596,1.55144,1.54388,1.55033,603795.6
2005-01-12,1.5505,1.5507,1.54472,1.54785,614646.3
2005-01-13,1.54767,1.54965,1.54635,1.54826,613272.3
2005-01-14,1.54835,1.55073,1.54599,1.54678,590274.7
2005-01-16,1.54624,1.54725,1.54582,1.54696,47144.2
2005-01-17,1.5471,1.54829,1.54318,1.54524,613508.9
2005-01-18,1.54527,1.54758,1.54206,1.54277,422002.9
2005-01-19,1.54307,1.54508,1.53975,1.54097,610395.4
2005-01-20,1.54086,1.54366,1.53978,1.54239,616137.0
2005-01-21,1.54265,1.54989,1.54226,1.54573,592076.3
2005-01-23,1.54618,1.54705,1.54489,1.54631,69631.3
2005-01-24,1.54636,1.54737,1.5433,1.54467,617438.9
2005-01-25,1.54481,1.55007,1.54309,1.54795,617530.2
2005-01-26,1.54785,1.55048,1.5462,1.54661,610812.8
2005-01-27,1.54667,1.54733,1.54347,1.54483,618590.6
2005-01-28,1.54457,1.54862,1.54325,1.54662,580109.7
2005-01-30,1.54696,1.54907,1.54644,1.5482,55699.2
2005-01-31,1.54815,1.55074,1.54632,1.5499,609080.9
2005-02-01,1.54982,1.55454,1.54937,1.55371,608187.7
2005-02-02,1.55369,1.55622,1.55095,1.55487,616898.6
2005-02-03,1.55466,1.56113,1.55394,1.55987,614030.2
2005-02-04,1.55987,1.5602,1.55638,1.55826,584049.8
2005-02-06,1.55814,1.55885,1.55716,1.55778,55103.2
2005-02-07,1.5578,1.5625,1.5565,1.56187,626257.5
2005-02-08,1.56195,1.56311,1.55781,1.55919,618317.5
2005-02-09,1.55927,1.56052,1.55553,1.55817,618221.7
2005-02-10,1.55812,1.55974,1.55329,1.5548,620505.0
2005-02-11,1.55477,1.55823,1.55243,1.55713,589160.1
2005-02-13,1.5566,1.55769,1.55621,1.55702,58692.1
2005-02-14,1.55707,1.55735,1.55269,1.5537,614815.5
2005-02-15,1.55378,1.55447,1.54707,1.5475,608008.6
2005-02-16,1.54747,1.55036,1.54508,1.547,617144.0
2005-02-17,1.54714,1.54903,1.54539,1.5474,611982.9
2005-02-18,1.54745,1.54841,1.5448,1.54604,573824.6
2005-02-20,1.54569,1.54659,1.54512,1.54587,44067.9
2005-02-21,1.5457,1.54602,1.54307,1.54487,605471.9
2005-02-22,1.54465,1.54615,1.5348,1.53631,621614.3
2005-02-23,1.53632,1.53908,1.53584,1.53621,622965.1
2005-02-24,1.53652,1.5442,1.53604,1.54217,608112.7
2005-02-25,1.54225,1.54378,1.53803,1.53854,579408.2
2005-02-27,1.53805,1.53935,1.5377,1.53887,63441.6
2005-02-28,1.53886,1.53991,1.53631,1.53803,621272.6
2005-03-01,1.53821,1.53916,1.53417,1.53695,611806.8
2005-03-02,1.537,1.54292,1.53571,1.5414,615816.0
2005-03-03,1.54162,1.54871,1.54128,1.5477,616664.7
2005-03-04,1.54769,1.54949,1.54563,1.54749,580838.8
2005-03-06,1.54649,1.54807,1.54649,1.54743,43459.6
2005-03-07,1.54763,1.55311,1.54613,1.55205,607701.3
2005-03-08,1.55236,1.5537,1.54674,1.549,614723.4
2005-03-09,1.54935,1.55377,1.5489,1.55175,618277.2
2005-03-10,1.55173,1.55196,1.54673,1.54842,618894.2
2005-03-11,1.54846,1.55099,1.54711,1.54745,586361.8
2005-03-13,1.54737,1.55,1.54688,1.54754,43555.0
2005-03-14,1.54763,1.55209,1.54716,1.54997,620738.7
2005-03-15,1.55005,1.55219,1.54877,1.55067,611468.4
2005-03-16,1.5506,1.55096,1.54478,1.54601,615238.5
2005-03-17,1.54602,1.54882,1.54354,1.54841,604610.4
2005-03-18,1.54846,1.55152,1.54635,1.55018,583048.9
2005-03-20,1.54963,1.55065,1.54915,1.54985,57954.1
2005-03-21,1.54974,1.5533,1.54833,1.55111,616708.3
2005-03-22,1.5512,1.55634,1.55009,1.55434,601291.0
2005-03-23,1.55399,1.5564,1.55218,1.55306,668938.3
2005-03-24,1.55324,1.55514,1.55156,1.55472,655931.5
2005-03-25,1.5549,1.55504,1.55292,1.55372,623577.2
2005-03-27,1.55308,1.5549,1.55295,1.55334,67449.5
2005-03-28,1.55361,1.55642,1.55082,1.55177,699345.8
2005-03-29,1.55203,1.55463,1.55025,1.55261,698714.9
2005-03-30,1.55255,1.55329,1.54733,1.5494,697173.1
2005-03-31,1.54948,1.55117,1.54719,1.55086,697771.7
2005-04-01,1.55104,1.5546,1.54989,1.55221,655122.9
2005-04-03,1.55183,1.55376,1.55163,1.55254,83771.2
2005-04-04,1.55263,1.55474,1.55116,1.55281,693325.9
2005-04-05,1.55271,1.55489,1.5491,1.55105,697295.6
2005-04-06,1.55125,1.552,1.54851,1.55093,694087.4
2005-04-07,1.55082,1.55209,1.54785,1.55083,746585.1
2005-04-08,1.55074,1.55268,1.54673,1.54847,652136.6
2005-04-10,1.5476,1.54862,1.54659,1.54766,73893.9
2005-04-11,1.54749,1.54972,1.54602,1.54787,696206.3
2005-04-12,1.54783,1.55088,1.54685,1.54909,663449.0
2005-04-13,1.54906,1.55212,1.54679,1.54938,622424.8
2005-04-14,1.54941,1.55711,1.54866,1.55447,613567.3
2005-04-15,1.55412,1.55543,1.54957,1.55064,596222.8
2005-04-17,1.55,1.55057,1.54787,1.55,49688.2
2005-04-18,1.55007,1.55072,1.54456,1.54658,618402.4
2005-04-19,1.5465,1.54751,1.54144,1.54222,619710.8
2005-04-20,1.54212,1.54502,1.53834,1.54002,617397.4
2005-04-21,1.54005,1.54473,1.5386,1.54313,625245.6
2005-04-22,1.54307,1.54553,1.54178,1.54193,588422.4
2005-04-24,1.54222,1.54298,1.54148,1.54243,42192.8
2005-04-25,1.5425,1.54461,1.542,1.54355,619555.8
2005-04-26,1.54348,1.54422,1.53842,1.54115,620177.6
2005-04-27,1.54108,1.54395,1.53754,1.54087,633266.3
2005-04-28,1.54101,1.5421,1.53725,1.53787,614945.8
2005-04-29,1.53787,1.54003,1.53505,1.53829,593201.9
2005-05-01,1.53808,1.53911,1.53753,1.53878,55949.8
2005-05-02,1.53891,1.54174,1.53725,1.53972,611055.0
2005-05-03,1.5397,1.54395,1.53938,1.54295,619685.1
2005-05-04,1.54302,1.54359,1.54001,1.54252,631645.2
2005-05-05,1.54255,1.54832,1.54196,1.54589,613495.3
2005-05-06,1.54602,1.54954,1.54523,1.54635,586600.0
2005-05-08,1.54655,1.54771,1.54591,1.54721,68816.4
2005-05-09,1.54725,1.54869,1.5457,1.5481,609391.0
2005-05-10,1.54823,1.54858,1.54502,1.54637,617637.0
2005-05-11,1.54636,1.54673,1.54306,1.54427,618024.3
2005-05-12,1.54426,1.54631,1.54208,1.54279,620291.1
2005-05-13,1.54287,1.54633,1.54159,1.54521,598183.6
2005-05-15,1.54557,1.5468,1.54482,1.54642,65977.6
2005-05-16,1.54623,1.54656,1.54291,1.54419,612027.7
2005-05-17,1.54427,1.54514,1.54173,1.54432,621974.3
2005-05-18,1.54435,1.54495,1.54116,1.54367,609757.0
2005-05-19,1.54358,1.54552,1.54123,1.54455,618866.4
2005-05-20,1.54455,1.55002,1.54349,1.54695,590308.0
2005-05-22,1.54665,1.54926,1.54625,1.54902,52818.7
2005-05-23,1.5491,1.54957,1.54559,1.54777,608298.3
2005-05-24,1.54782,1.54815,1.54515,1.54637,597352.5
2005-05-25,1.54645,1.54695,1.54451,1.54657,599123.8
2005-05-26,1.54646,1.54851,1.54405,1.54583,594442.7
2005-05-27,1.54635,1.54871,1.54525,1.54814,572496.3
2005-05-29,1.54682,1.54682,1.54353,1.54489,46233.9
2005-05-30,1.54495,1.54593,1.54338,1.5449,626664.6
2005-05-31,1.54484,1.54507,1.53492,1.53527,610971.7
2005-06-01,1.53535,1.53675,1.52979,1.53225,604435.9
2005-06-02,1.53255,1.53656,1.53147,1.53547,605930.5
2005-06-03,1.53552,1.53705,1.5313,1.53255,586017.7
2005-06-05,1.53169,1.53302,1.53141,1.53213,48509.0
2005-06-06,1.53201,1.53277,1.53033,1.53165,596912.1
2005-06-07,1.53171,1.53224,1.52913,1.53005,597924.8
2005-06-08,1.53006,1.53668,1.52927,1.53445,586570.9
2005-06-09,1.53453,1.53486,1.53129,1.53365,602468.3
2005-06-10,1.53323,1.53915,1.53211,1.53744,567973.6
2005-06-12,1.5368,1.53752,1.53544,1.53729,51195.7
2005-06-13,1.53728,1.53953,1.53558,1.53917,609488.5
2005-06-14,1.53918,1.54042,1.53577,1.53637,598881.4
2005-06-15,1.53636,1.53981,1.53577,1.53965,596062.4
2005-06-16,1.53957,1.54082,1.53733,1.53937,598616.8
2005-06-17,1.5393,1.54654,1.53849,1.54328,572582.7
2005-06-19,1.54294,1.54421,1.54157,1.54331,51803.6
2005-06-20,1.5428,1.54503,1.54224,1.54292,602570.0
2005-06-21,1.54293,1.54363,1.54024,1.54161,593804.2
2005-06-22,1.5416,1.54328,1.5388,1.54152,611375.5
2005-06-23,1.54143,1.54225,1.53868,1.5401,604658.6
2005-06-24,1.53995,1.54259,1.53728,1.54045,582467.2
2005-06-26,1.54015,1.54166,1.53964,1.54005,54877.8
2005-06-27,1.54003,1.54348,1.53981,1.54254,610084.2
2005-06-28,1.54251,1.54575,1.54177,1.54427,600282.9
2005-06-29,1.54449,1.54866,1.54339,1.54854,604307.6
2005-06-30,1.54853,1.55213,1.54679,1.55065,600007.1
2005-07-01,1.55057,1.55479,1.54891,1.54955,584167.2
2005-07-03,1.54981,1.54981,1.54684,1.54904,56994.6
2005-07-04,1.54903,1.55226,1.54576,1.55211,625862.8
2005-07-05,1.55207,1.55379,1.54953,1.55304,605165.0
2005-07-06,1.55303,1.55456,1.55203,1.55367,595687.9
2005-07-07,1.55362,1.55519,1.54417,1.55067,609227.7
2005-07-08,1.55057,1.55568,1.54886,1.55363,578833.6
2005-07-10,1.55417,1.55559,1.55412,1.55533,53859.2
