date,open,high,low,close,tick_volume
2005-01-02,0.70605,0.70729,0.70494,0.70729,23402.9
2005-01-03,0.70698,0.70922,0.7047,0.7069,299266.9
2005-01-04,0.70693,0.70741,0.70464,0.70497,306240.0
2005-01-05,0.70494,0.70682,0.70224,0.70351,302557.7
2005-01-06,0.70344,0.70496,0.70164,0.70228,303539.1
2005-01-07,0.7024,0.70324,0.6972,0.69749,292285.7
2005-01-09,0.69753,0.69842,0.69737,0.69831,24356.1
2005-01-10,0.69831,0.69951,0.69657,0.69796,300597.4
2005-01-11,0.6981,0.70089,0.69733,0.69797,299291.6
2005-01-12,0.69788,0.70252,0.69768,0.70097,291839.2
2005-01-13,0.70097,0.70325,0.69962,0.70207,303780.2
2005-01-14,0.70211,0.70255,0.69935,0.70071,288922.6
2005-01-16,0.70031,0.70097,0.70005,0.70013,25276.4
2005-01-17,0.70011,0.70368,0.69949,0.70232,285500.5
2005-01-18,0.70231,0.7024,0.6968,0.69812,223045.4
2005-01-19,0.69841,0.69846,0.69387,0.69468,296368.2
2005-01-20,0.69464,0.69602,0.69133,0.69242,297045.4
2005-01-21,0.69242,0.69793,0.69182,0.69454,279060.8
2005-01-23,0.69413,0.69479,0.69348,0.69425,24661.6
2005-01-24,0.6943,0.69584,0.69357,0.6937,298596.1
2005-01-25,0.69366,0.69618,0.69233,0.69551,294309.9
2005-01-26,0.6955,0.69566,0.69225,0.6946,298433.7
2005-01-27,0.6946,0.69551,0.6893,0.68951,299635.6
2005-01-28,0.68949,0.69261,0.68941,0.69029,279959.1
2005-01-30,0.69029,0.69067,0.68965,0.6902,23962.5
2005-01-31,0.69015,0.69361,0.68957,0.69225,297462.6
2005-02-01,0.69229,0.69347,0.69129,0.69247,293366.9
2005-02-02,0.69251,0.69441,0.69014,0.69123,295693.6
2005-02-03,0.69121,0.69155,0.68827,0.68892,297390.0
2005-02-04,0.68888,0.68964,0.68479,0.68594,276012.9
2005-02-06,0.68549,0.6866,0.6854,0.68582,22577.0
2005-02-07,0.68583,0.68777,0.68457,0.6866,290532.2
2005-02-08,0.68658,0.68903,0.68593,0.68846,293251.5
2005-02-09,0.68858,0.68923,0.68519,0.68877,292324.3
2005-02-10,0.68872,0.68995,0.68662,0.68899,301078.5
