date,open,high,low,close,tick_volume
2005-01-02,139.041,139.278,138.998,139.207,16602.7
2005-01-03,139.227,139.237,138.127,138.348,268165.9
2005-01-04,138.353,138.956,137.831,138.551,264976.7
2005-01-05,138.563,138.946,137.754,137.945,270759.5
2005-01-06,137.962,138.595,137.893,138.247,266161.1
2005-01-07,138.243,138.268,136.557,136.72,257751.5
2005-01-09,136.791,136.888,136.696,136.8,16947.4
2005-01-10,136.808,137.022,136.208,136.544,263169.2
2005-01-11,136.528,136.945,135.32,135.614,264919.3
2005-01-12,135.6,136.125,135.035,135.82,267911.4
2005-01-13,135.822,136.157,135.103,135.339,262918.3
2005-01-14,135.365,135.454,133.289,133.757,257341.1
2005-01-16,133.74,133.747,133.536,133.598,17273.9
2005-01-17,133.609,133.975,133.255,133.396,262143.5
2005-01-18,133.397,134.355,132.973,133.08,166692.3
2005-01-19,133.092,134.34,133.053,133.766,265451.5
2005-01-20,133.783,134.249,133.057,133.952,268428.2
2005-01-21,133.958,134.809,133.78,133.906,255747.1
2005-01-23,133.941,134.131,133.882,134.069,16981.9
2005-01-24,134.076,134.72,133.591,133.762,268176.0
2005-01-25,133.756,135.327,133.667,134.911,269210.0
2005-01-26,134.911,134.913,134.209,134.767,267757.9
2005-01-27,134.775,135.423,133.759,134.094,265101.5
2005-01-28,134.115,135.05,134.074,134.635,256198.9
2005-01-30,134.82,134.993,134.784,134.906,16897.4
2005-01-31,134.904,135.259,134.496,135.192,265406.9
2005-02-01,135.193,135.513,135.028,135.232,265829.8
2005-02-02,135.227,135.774,134.88,135.094,264571.6
2005-02-03,135.096,135.744,135.055,135.468,265150.0
2005-02-04,135.465,135.581,133.74,133.935,252519.5
2005-02-06,134.123,134.488,133.927,134.082,17497.1
2005-02-07,134.085,134.361,133.538,133.787,265225.0
2005-02-08,133.769,135.186,133.702,134.965,265699.8
2005-02-09,134.972,135.469,134.646,135.245,263322.1
2005-02-10,135.255,136.313,135.162,136.252,266685.3
2005-02-11,136.255,136.273,135.782,135.99,249584.0
2005-02-13,135.939,135.982,135.695,135.887,16909.7
2005-02-14,135.882,136.41,135.366,136.316,265966.4
2005-02-15,136.317,136.574,135.537,136.068,266172.9
2005-02-16,136.063,137.427,136.034,137.384,266528.0
2005-02-17,137.382,138.028,137.136,137.89,262073.2
2005-02-18,137.898,138.268,137.462,138.069,251685.5
2005-02-20,138.018,138.178,137.839,138.058,16903.6
2005-02-21,138.065,138.144,137.61,137.708,260058.2
2005-02-22,137.71,138.277,137.089,138.219,265542.5
2005-02-23,138.208,138.804,138.012,138.642,269823.4
2005-02-24,138.675,139.298,138.432,139.056,265454.3
2005-02-25,139.059,139.361,138.519,139.35,253375.1
2005-02-27,139.311,139.422,138.823,138.898,16965.0
2005-02-28,138.875,139.138,138.012,138.164,270205.9
