date,open,high,low,close,tick_volume
2006-01-02,1.74027,1.74027,1.72971,1.73426,545.0
2006-01-03,1.73425,1.76112,1.73248,1.75349,20607.0
2006-01-04,1.75381,1.76344,1.75139,1.76043,20912.0
2006-01-05,1.76041,1.76719,1.75363,1.76229,20788.0
2006-01-06,1.76223,1.76921,1.75455,1.7557,19294.0
2006-01-07,1.7557,1.7557,1.7557,1.7557,0.0
2006-01-08,1.7557,1.75719,1.75415,1.75649,812.0
2006-01-09,1.75646,1.75813,1.73885,1.74119,20294.0
2006-01-10,1.74108,1.74557,1.73491,1.73573,20532.0
2006-01-11,1.73574,1.74188,1.73369,1.74012,20318.0
2006-01-12,1.74022,1.74124,1.72726,1.73479,20436.0
2006-01-13,1.73494,1.73814,1.72907,1.736,19687.0
2006-01-14,1.736,1.736,1.736,1.736,0.0
2006-01-15,1.736,1.73803,1.73534,1.73712,756.0
2006-01-16,1.73697,1.74202,1.73213,1.74194,18638.0
2006-01-17,1.74186,1.7578,1.74024,1.75597,20750.0
2006-01-18,1.75585,1.76797,1.75282,1.76196,20822.0
2006-01-19,1.76224,1.78666,1.75907,1.77437,20560.0
2006-01-20,1.77425,1.78929,1.76813,1.78811,19873.0
2006-01-21,1.78811,1.78811,1.78811,1.78811,0.0
2006-01-22,1.78811,1.78811,1.78811,1.78811,0.0
2006-01-23,1.79393,1.7994,1.78431,1.79755,18365.0
2006-01-24,1.79726,1.81482,1.79473,1.79583,20638.0
2006-01-25,1.79565,1.80036,1.78074,1.7817,20432.0
2006-01-26,1.78177,1.7911,1.77484,1.78355,20233.0
2006-01-27,1.78344,1.80415,1.77059,1.77127,20364.0
2006-01-28,1.77127,1.77127,1.77127,1.77127,0.0
2006-01-29,1.77127,1.77851,1.77127,1.77579,888.0
2006-01-30,1.77568,1.77713,1.76849,1.77156,20260.0
2006-01-31,1.77156,1.77809,1.76227,1.76427,20455.0
2006-02-01,1.76426,1.7682,1.75798,1.75966,20774.0
2006-02-02,1.75979,1.76353,1.74848,1.74897,20491.0
2006-02-03,1.74911,1.75401,1.74305,1.75035,19215.0
2006-02-04,1.75035,1.75035,1.75035,1.75035,0.0
2006-02-05,1.75035,1.75133,1.74604,1.74811,714.0
2006-02-06,1.74811,1.7621,1.74779,1.7542,20204.0
2006-02-07,1.75431,1.76863,1.74904,1.76665,20271.0
2006-02-08,1.7663,1.773,1.75795,1.76943,20304.0
2006-02-09,1.76945,1.774,1.75808,1.75992,20455.0
2006-02-10,1.75997,1.76405,1.75036,1.75214,20038.0
2006-02-11,1.75214,1.7525,1.75214,1.7525,0.0
2006-02-12,1.7525,1.75353,1.75134,1.75238,765.0
2006-02-13,1.75238,1.76464,1.74686,1.76388,19914.0
2006-02-14,1.76385,1.77003,1.75704,1.75911,20322.0
2006-02-15,1.75921,1.76435,1.75338,1.76039,19997.0
2006-02-16,1.76024,1.77933,1.75746,1.77205,20008.0
2006-02-17,1.77196,1.79246,1.77029,1.78985,19660.0
2006-02-18,1.78985,1.78985,1.78985,1.78985,0.0
2006-02-19,1.78985,1.78985,1.78213,1.78462,887.0
2006-02-20,1.78465,1.78832,1.77816,1.78026,17024.0
2006-02-21,1.78022,1.80266,1.77949,1.79872,19676.0
2006-02-22,1.79906,1.81278,1.79856,1.80968,20085.0
2006-02-23,1.80974,1.81005,1.79927,1.80159,20346.0
2006-02-24,1.80168,1.80282,1.78833,1.79083,19632.0
2006-02-25,1.79083,1.79083,1.79083,1.79083,0.0
2006-02-26,1.79083,1.80365,1.79083,1.79902,1021.0
2006-02-27,1.79896,1.80444,1.79109,1.79357,19997.0
2006-02-28,1.79355,1.80401,1.79081,1.79967,20106.0
2006-03-01,1.79957,1.80265,1.78798,1.79175,20184.0
2006-03-02,1.79159,1.80608,1.78686,1.8045,20137.0
2006-03-03,1.80438,1.81113,1.79884,1.81061,19233.0
2006-03-04,1.81061,1.81061,1.81061,1.81061,0.0
2006-03-05,1.81061,1.81138,1.80754,1.80937,937.0
2006-03-06,1.8097,1.83088,1.80854,1.82939,20261.0
2006-03-07,1.82995,1.83893,1.8271,1.8349,20489.0
2006-03-08,1.8349,1.83794,1.82539,1.83179,20100.0
2006-03-09,1.83183,1.84323,1.82818,1.8408,20006.0
2006-03-10,1.84105,1.86004,1.83924,1.85864,19515.0
2006-03-11,1.85864,1.85864,1.85864,1.85864,0.0
2006-03-12,1.85864,1.85864,1.84955,1.85226,901.0
2006-03-13,1.85237,1.88078,1.85102,1.87671,19479.0
2006-03-14,1.87673,1.89134,1.86539,1.87066,20357.0
2006-03-15,1.87063,1.87466,1.86144,1.86945,20333.0
2006-03-16,1.86945,1.90934,1.86809,1.9001,20294.0
2006-03-17,1.89992,1.93144,1.8991,1.92061,18654.0
2006-03-18,1.92061,1.92061,1.92061,1.92061,0.0
2006-03-19,1.92061,1.93096,1.91338,1.92497,984.0
2006-03-20,1.92468,1.9526,1.92444,1.94896,20129.0
2006-03-21,1.94877,1.95203,1.93305,1.93835,20549.0
2006-03-22,1.93833,1.95395,1.9199,1.92092,20528.0
2006-03-23,1.92136,1.94454,1.91317,1.94152,19938.0
2006-03-24,1.94129,1.96626,1.93932,1.96437,19496.0
2006-03-25,1.96437,1.965224,1.96437,1.965224,0.0
2006-03-26,1.965224,1.97751,1.965224,1.96742,906.0
2006-03-27,1.96738,1.98927,1.96642,1.97722,19603.0
2006-03-28,1.97747,2.0,1.96068,1.98444,20676.0
2006-03-29,1.98424,2.00264,1.98125,1.98149,19999.0
