date,open,high,low,close,tick_volume
2005-01-02,1.35385,1.35771,1.35351,1.35761,92894.4
2005-01-03,1.35772,1.35777,1.33856,1.34624,1324418.7
2005-01-04,1.34649,1.34931,1.32493,1.32778,1332732.9
2005-01-05,1.32788,1.33004,1.32147,1.32731,1321343.6
2005-01-06,1.32757,1.32765,1.31539,1.31782,1333010.6
2005-01-07,1.3178,1.32479,1.30234,1.30505,1265563.4
2005-01-09,1.30452,1.30722,1.30452,1.30706,93126.1
2005-01-10,1.30719,1.31203,1.30552,1.31047,1318538.2
2005-01-11,1.31056,1.3169,1.30971,1.31125,1324920.3
2005-01-12,1.31125,1.32908,1.30813,1.32552,1316044.3
2005-01-13,1.32547,1.32639,1.31918,1.32063,1320041.4
2005-01-14,1.32065,1.32082,1.30556,1.31078,1265683.0
2005-01-16,1.31021,1.31142,1.3094,1.30949,89647.3
2005-01-17,1.30953,1.3126,1.30332,1.30449,1322326.9
2005-01-18,1.30464,1.3072,1.29928,1.30125,832553.5
2005-01-19,1.30124,1.3116,1.29633,1.29973,1313855.9
2005-01-20,1.29984,1.30214,1.29241,1.29596,1314876.8
2005-01-21,1.29582,1.3066,1.29197,1.30373,1265140.2
2005-01-23,1.3039,1.30478,1.30336,1.30371,95491.2
2005-01-24,1.30374,1.30966,1.30267,1.30347,1321099.6
2005-01-25,1.30364,1.30741,1.29436,1.29664,1315600.4
2005-01-26,1.29659,1.31065,1.29634,1.30734,1322500.7
2005-01-27,1.30737,1.31209,1.30089,1.30359,1329485.9
2005-01-28,1.3037,1.30776,1.29838,1.30334,1256274.6
2005-01-30,1.30315,1.30366,1.30039,1.30185,95169.8
2005-01-31,1.30189,1.30568,1.29752,1.30463,1330072.3
2005-02-01,1.30458,1.30627,1.29956,1.30374,1327458.3
2005-02-02,1.30441,1.30912,1.30039,1.30291,1326145.9
2005-02-03,1.30273,1.30349,1.294,1.29668,1324250.2
2005-02-04,1.29655,1.30367,1.2845,1.28664,1264389.4
2005-02-06,1.2864,1.28648,1.28472,1.28504,99476.8
2005-02-07,1.28508,1.28627,1.27311,1.27592,1323582.1
2005-02-08,1.27577,1.27961,1.27299,1.27679,1325102.4
2005-02-09,1.27665,1.28129,1.27323,1.28089,1320764.4
2005-02-10,1.2807,1.29033,1.27359,1.28721,1331353.5
2005-02-11,1.28724,1.28941,1.28422,1.2862,1253717.4
2005-02-13,1.2859,1.2886,1.28564,1.28826,91915.4
2005-02-14,1.2879,1.29877,1.28776,1.29658,1336044.8
2005-02-15,1.29672,1.3048,1.29432,1.30104,1330124.5
2005-02-16,1.30105,1.30608,1.29573,1.30194,1331507.4
2005-02-17,1.30207,1.30882,1.3012,1.30705,1328764.3
2005-02-18,1.307,1.30813,1.30128,1.30699,1260354.3
2005-02-20,1.30563,1.30682,1.30396,1.30659,92198.9
2005-02-21,1.30658,1.30764,1.30303,1.30605,1305964.7
2005-02-22,1.30608,1.3267,1.30504,1.32569,1332764.2
2005-02-23,1.32545,1.32731,1.31843,1.31992,1332007.9
