date,open,high,low,close,tick_volume
2010-01-01,150.357,150.39,150.268,150.36,146849.44
2010-01-03,150.215,150.298,149.585,149.66,11995.6
2010-01-04,149.66,150.71,148.61,149.005,221710.26
2010-01-05,148.99,149.14,146.125,146.38,201362.73
2010-01-06,146.395,148.455,145.985,147.96,222884.61
2010-01-07,147.96,149.345,147.055,148.885,208365.0
2010-01-08,148.885,149.46,147.02,147.027,203744.94
2010-01-10,148.457,148.8,148.259,148.575,17063.22
2010-01-11,148.575,149.59,148.065,148.38,198450.8
2010-01-12,148.38,148.635,146.65,147.125,228175.2
2010-01-13,147.14,149.035,146.705,148.805,250165.83
2010-01-14,148.8,150.005,148.35,149.06,222937.94
2010-01-15,149.065,149.215,147.16,147.363,202497.2
2010-01-17,147.485,148.14,147.324,147.96,25925.0
2010-01-18,147.96,148.895,147.515,148.31,162355.5
2010-01-19,148.31,149.455,147.985,149.185,242343.58
2010-01-20,149.185,149.25,147.56,148.665,223678.96
2010-01-21,148.665,149.095,145.39,146.495,222445.51
2010-01-22,146.495,147.225,144.605,144.765,235234.6
2010-01-24,144.476,145.557,144.327,145.025,26387.6
2010-01-25,145.025,147.095,144.725,146.87,189712.48
2010-01-26,146.865,147.29,144.075,144.7,205359.96
2010-01-27,144.705,145.68,143.635,145.52,254854.16
2010-01-28,145.52,147.23,144.57,144.925,228518.43
2010-01-29,144.93,146.255,144.065,144.132,278309.93
2010-01-31,144.13,144.17,143.117,144.14,36494.9
2010-02-01,144.14,144.925,143.055,144.725,264647.95
2010-02-02,144.725,145.185,143.845,144.605,239582.4
2010-02-03,144.6,145.28,144.21,144.585,222574.25
2010-02-04,144.575,144.725,139.33,140.905,190675.72
2010-02-05,140.915,141.415,138.245,139.603,198140.65
2010-02-07,139.56,140.129,138.915,139.24,17310.0
2010-02-08,139.24,139.925,138.625,138.945,208278.61
2010-02-09,138.945,141.37,138.915,140.93,262590.28
2010-02-10,140.93,141.415,139.435,140.34,258399.4
2010-02-11,140.34,141.025,139.615,141.015,249428.77
2010-02-12,141.0,141.9,139.795,141.16,228612.22
2010-02-14,141.082,141.332,140.795,141.06,19708.28
2010-02-15,141.06,141.375,140.705,141.06,126322.45
2010-02-16,141.045,142.57,140.715,142.425,168204.59
2010-02-17,142.44,143.61,142.085,142.785,249164.47
2010-02-18,142.785,142.905,140.975,141.89,225504.01
2010-02-19,141.88,142.205,140.885,141.17,188851.41
2010-02-21,141.053,141.72,141.05,141.72,16851.64
2010-02-22,141.72,142.175,140.78,141.455,195174.5
2010-02-23,141.455,141.675,138.735,139.24,218237.31
2010-02-24,139.24,139.59,138.35,139.165,205131.99
2010-02-25,139.165,139.215,134.955,136.075,236667.77
2010-02-26,136.07,136.705,134.635,135.225,214227.35
2010-02-28,134.89,135.422,134.515,134.885,21663.01
2010-03-01,134.885,135.5,131.995,133.505,253028.1
2010-03-02,133.505,133.745,132.48,133.355,221164.3
2010-03-03,133.345,134.01,132.875,133.78,204510.1
2010-03-04,133.745,134.815,132.575,134.02,204883.78
2010-03-05,134.02,137.045,133.99,136.147,178379.9
2010-03-07,136.704,137.225,136.52,137.195,24429.1
2010-03-08,137.195,137.37,135.665,135.825,271908.36
2010-03-09,135.825,135.83,133.92,135.105,242317.74
2010-03-10,135.11,135.895,133.91,135.41,221273.0
2010-03-11,135.41,136.815,134.905,136.585,170447.24
2010-03-12,136.585,138.07,136.09,137.452,213696.03
2010-03-14,137.637,138.18,137.35,137.825,23363.2
2010-03-15,137.82,137.96,135.805,135.9,207968.64
2010-03-16,135.905,137.84,135.18,137.575,232839.12
2010-03-17,137.57,139.355,137.1,138.45,253693.08
2010-03-18,138.45,138.545,137.005,137.98,183511.81
2010-03-19,137.975,138.09,135.62,135.872,173608.1
2010-03-21,135.783,135.977,135.57,135.585,20630.5
2010-03-22,135.59,136.53,134.54,136.47,212168.69
2010-03-23,136.47,136.49,135.225,135.795,234097.04
2010-03-24,135.8,137.43,135.495,137.06,276462.9
2010-03-25,137.065,138.125,136.655,137.365,236283.84
2010-03-26,137.365,138.04,137.045,137.772,230405.2
2010-03-28,137.764,138.349,137.71,137.78,32858.2
2010-03-29,137.785,139.115,137.675,138.525,239487.63
2010-03-30,138.525,140.55,138.02,140.18,256669.06
2010-03-31,140.18,142.32,139.88,142.105,254834.66
2010-04-01,142.095,143.63,141.75,143.34,216373.26
2010-04-02,143.34,143.935,142.708,143.825,103569.26
2010-04-04,143.819,144.89,143.407,144.21,27441.7
2010-04-05,144.205,144.725,143.755,144.065,117912.08
2010-04-06,144.065,144.065,142.08,142.64,253342.23
2010-04-07,142.64,143.85,141.765,141.86,266159.05
2010-04-08,141.86,143.065,140.955,142.885,283369.0
2010-04-09,142.885,144.33,142.695,143.135,246451.93
2010-04-11,143.222,144.05,143.045,143.68,39558.2
2010-04-12,143.68,144.505,143.065,143.215,253454.4
2010-04-13,143.215,143.775,142.055,143.365,243662.51
2010-04-14,143.365,144.635,143.365,144.375,241967.4
2010-04-15,144.375,145.035,143.265,143.96,240545.02
2010-04-16,143.965,143.965,141.34,141.522,249253.18
2010-04-18,141.553,141.738,140.03,140.55,30293.8
2010-04-19,140.54,141.93,139.375,141.785,266357.86
2010-04-20,141.79,143.53,141.535,143.06,235626.63
2010-04-21,143.055,144.165,142.625,143.35,248913.56
2010-04-22,143.35,144.18,142.43,143.475,287922.63
2010-04-23,143.48,144.76,143.08,144.44,265557.38
2010-04-25,144.528,144.9,144.286,144.9,22950.6
2010-04-26,144.89,145.96,144.84,145.275,256763.57
2010-04-27,145.28,145.31,141.58,142.195,325187.65
2010-04-28,142.195,143.49,141.7,142.81,301228.11
2010-04-29,142.8,144.505,142.195,144.145,260084.26
2010-04-30,144.15,145.21,143.23,143.295,237895.6
2010-05-02,143.26,144.085,142.913,143.985,20128.2
2010-05-03,144.0,144.635,142.985,144.29,204933.9
2010-05-04,144.29,144.905,142.6,143.625,263966.23
2010-05-05,143.625,144.04,141.205,141.73,275219.3
2010-05-06,141.73,142.3,129.695,136.12,281346.8
2010-05-07,136.115,138.17,133.105,135.512,204690.35
2010-05-09,135.525,137.744,135.432,136.47,26989.95
2010-05-10,136.465,140.565,135.985,137.965,212841.18
2010-05-11,137.96,139.665,135.895,138.77,244073.52
2010-05-12,138.765,139.82,137.395,138.365,272834.04
2010-05-13,138.37,139.52,134.96,135.11,236329.8
