date,open,high,low,close,tick_volume
2006-01-02,80.33,80.335,80.072,80.118,649.2
2006-01-03,80.145,80.313,79.154,79.454,21790.2
2006-01-04,79.442,80.042,79.194,79.871,22395.4
2006-01-05,79.877,80.166,79.254,79.578,21804.4
2006-01-06,79.588,79.725,78.802,79.133,20047.6
2006-01-07,79.133,79.133,79.133,79.133,0.0
2006-01-08,79.133,79.173,78.936,79.07,958.8
2006-01-09,79.074,79.457,78.594,79.325,21180.2
2006-01-10,79.345,79.541,78.873,79.455,21488.8
2006-01-11,79.458,79.691,79.267,79.64,21583.0
2006-01-12,79.645,79.704,79.052,79.457,21686.0
2006-01-13,79.47,79.851,79.35,79.737,20172.6
2006-01-14,79.737,79.737,79.737,79.737,0.0
2006-01-15,79.737,79.823,79.625,79.659,967.2
2006-01-16,79.672,80.307,79.529,79.966,19188.2
2006-01-17,79.977,80.002,79.441,79.592,21581.2
2006-01-18,79.617,79.683,78.88,79.097,21512.6
2006-01-19,79.106,79.236,77.773,78.612,22079.8
2006-01-20,78.624,78.858,78.052,78.146,20673.6
2006-01-21,78.146,78.146,78.146,78.146,0.0
2006-01-22,78.146,78.16187,78.146,78.16187,0.0
2006-01-23,78.16187,78.617,77.695,78.251,17878.2
2006-01-24,78.269,78.565,77.45,78.472,21462.2
2006-01-25,78.499,79.526,78.32,79.477,21788.8
2006-01-26,79.484,79.808,79.19,79.549,21647.2
2006-01-27,79.558,80.079,78.579,79.97,21455.2
2006-01-28,79.97,79.97,79.97,79.97,0.0
2006-01-29,79.97,79.97,79.603,79.699,1191.8
2006-01-30,79.69,80.293,79.648,80.128,21049.2
2006-01-31,80.15,80.729,79.704,80.606,22109.6
2006-02-01,80.69,80.999,80.444,80.785,21471.2
2006-02-02,80.794,81.845,80.694,81.797,21218.6
2006-02-03,81.793,81.949,81.45,81.594,20495.4
2006-02-04,81.594,81.594,81.594,81.594,0.0
2006-02-05,81.594,81.708,81.433,81.669,1083.6
2006-02-06,81.693,81.693,80.831,81.101,21085.4
2006-02-07,81.102,81.245,79.622,79.767,21166.0
2006-02-08,79.794,80.483,79.645,80.029,21237.4
2006-02-09,80.024,80.92,79.874,80.84,21269.4
2006-02-10,80.852,80.893,79.624,79.962,21063.8
2006-02-11,79.962,79.962,79.962,79.962,0.0
2006-02-12,79.962,79.962,79.753,79.818,1111.6
2006-02-13,79.835,80.34,79.181,79.272,20562.0
2006-02-14,79.285,79.661,78.736,79.572,21333.4
2006-02-15,79.568,79.747,79.294,79.541,20540.2
2006-02-16,79.55,79.571,78.49,78.861,20943.2
2006-02-17,78.863,79.174,78.34,78.651,20823.2
2006-02-18,78.651,78.651,78.651,78.651,0.0
2006-02-19,78.651,78.991,78.651,78.965,1316.0
2006-02-20,78.976,79.325,78.851,79.265,17435.6
2006-02-21,79.259,79.319,78.361,78.63,20429.2
2006-02-22,78.621,78.639,77.797,77.86,20763.4
2006-02-23,77.861,77.981,77.123,77.384,22144.2
2006-02-24,77.394,77.592,76.999,77.39,20434.2
2006-02-25,77.39,77.39,77.39,77.39,0.0
2006-02-26,77.39,77.39,76.811,76.937,1324.0
2006-02-27,76.952,76.964,76.166,76.672,20956.8
2006-02-28,76.684,76.897,76.434,76.663,21558.0
2006-03-01,76.676,77.286,76.545,77.121,21483.0
2006-03-02,77.132,77.558,76.997,77.158,21022.4
2006-03-03,77.172,77.686,77.161,77.338,18982.0
2006-03-04,77.338,77.338,77.338,77.338,0.0
2006-03-05,77.338,77.533,77.29,77.454,1424.6
2006-03-06,77.468,77.912,77.035,77.159,20934.8
2006-03-07,77.137,77.162,76.123,76.188,21574.2
2006-03-08,76.212,76.772,76.18,76.614,20643.8
2006-03-09,76.619,76.715,76.167,76.322,21587.0
2006-03-10,76.331,76.516,75.864,75.937,20539.0
2006-03-11,75.937,75.937,75.937,75.937,0.0
2006-03-12,75.937,76.521,75.937,76.508,1251.0
2006-03-13,76.493,76.493,75.361,75.582,20282.0
2006-03-14,75.602,75.695,74.848,75.511,21536.0
2006-03-15,75.517,75.882,75.301,75.806,20998.4
2006-03-16,75.809,75.86,74.403,74.807,21630.0
2006-03-17,74.808,74.827,73.076,73.445,20098.4
2006-03-18,73.445,73.445,73.445,73.445,0.0
2006-03-19,73.445,73.72,73.126,73.405,1360.8
2006-03-20,73.423,73.423,72.263,72.544,21983.0
2006-03-21,72.562,73.183,72.384,73.135,21538.6
2006-03-22,73.146,73.48,72.421,73.398,21569.0
2006-03-23,73.41,73.651,72.451,72.578,21369.6
2006-03-24,72.582,72.727,71.803,71.86,20700.6
2006-03-25,71.86,71.86,71.86,71.86,0.0
2006-03-26,71.86,71.9,71.459,71.832,1331.8
2006-03-27,71.847,71.866,70.519,70.72,20734.8
2006-03-28,70.724,71.516,70.436,71.172,21939.0
2006-03-29,71.186,71.473,70.512,71.442,21521.2
2006-03-30,71.45,72.051,71.128,71.864,21594.0
2006-03-31,71.878,72.55,71.667,72.541,20570.0
2006-04-01,72.541,72.541,72.541,72.541,0.0
2006-04-02,72.541,72.544,72.257,72.512,1445.2
2006-04-03,72.524,72.969,71.113,71.423,21936.6
2006-04-04,71.438,71.784,70.621,71.665,21969.8
2006-04-05,71.68,72.296,71.247,72.224,21518.2
2006-04-06,72.211,72.611,71.899,71.975,21302.2
2006-04-07,71.999,72.465,71.772,72.012,19736.4
2006-04-08,72.012,72.012,72.012,72.012,0.0
2006-04-09,72.012,72.012,71.678,71.739,1568.8
2006-04-10,71.746,72.218,71.734,72.063,20507.8
2006-04-11,72.086,72.49,71.773,72.321,21242.2
2006-04-12,72.328,73.947,72.251,73.811,20865.4
2006-04-13,73.839,74.067,72.944,73.365,20552.0
2006-04-14,73.374,73.452,72.983,73.278,10831.2
2006-04-15,73.278,73.278,73.278,73.278,0.0
2006-04-16,73.278,73.278,73.016,73.134,1124.4
2006-04-17,73.143,73.683,72.966,73.598,19374.4
2006-04-18,73.625,73.991,73.555,73.78,21407.4
2006-04-19,73.796,74.681,73.661,74.328,21989.0
2006-04-20,74.328,74.67,73.353,73.481,21219.2
2006-04-21,73.489,74.225,73.478,73.773,19583.6
2006-04-22,73.773,73.773,73.773,73.773,0.0
2006-04-23,73.773,73.773,73.093,73.355,1051.0
2006-04-24,73.355,73.579,71.619,72.045,20601.2
2006-04-25,72.058,72.143,71.554,71.852,20959.2
2006-04-26,71.865,72.649,71.789,72.361,21603.6
2006-04-27,72.38,72.501,71.842,72.254,21112.6
2006-04-28,72.284,72.582,72.101,72.512,18160.4
2006-04-29,72.512,72.512,72.512,72.512,0.0
2006-04-30,72.512,72.512,72.25,72.38,1199.8
2006-05-01,72.386,72.46,71.932,72.05,20409.6
2006-05-02,72.057,72.633,72.003,72.423,21507.0
2006-05-03,72.443,73.108,72.302,72.823,21521.0
2006-05-04,72.833,73.039,72.353,72.585,21217.2
2006-05-05,72.605,73.003,71.94,72.155,19045.4
2006-05-06,72.155,72.155,72.155,72.155,0.0
2006-05-07,72.155,72.155,71.633,71.939,1583.4
2006-05-08,71.948,72.022,70.358,70.696,21283.4
2006-05-09,70.697,70.698,69.602,70.054,21644.4
2006-05-10,70.075,70.177,68.771,69.151,22354.2
2006-05-11,69.125,70.219,68.914,69.593,22640.2
2006-05-12,69.601,69.765,68.452,69.081,20490.8
2006-05-13,69.081,69.081,69.081,69.081,0.0
2006-05-14,69.081,69.081,68.566,68.731,1729.0
2006-05-15,68.728,68.779,67.747,68.617,22831.2
2006-05-16,68.622,68.855,68.256,68.751,21097.8
2006-05-17,68.766,69.251,68.163,69.026,22863.4
2006-05-18,69.023,69.421,68.691,68.765,21853.6
2006-05-19,68.768,69.482,68.681,69.272,20361.2
2006-05-20,69.272,69.272,69.272,69.272,0.0
2006-05-21,69.272,69.359,69.158,69.239,1593.0
