date,open,high,low,close,tick_volume
2007-03-20,0.70331,0.70338,0.70194,0.70258,4331.8
2007-03-27,0.71608,0.71996,0.71178,0.71655,106498.2
2007-03-28,0.71644,0.7174,0.71197,0.71382,28470.0
2010-01-01,0.72537,0.72614,0.72469,0.72559,72643.4
2010-01-03,0.7256,0.72567,0.72266,0.72355,3430.2
2010-01-04,0.72355,0.7353,0.7193,0.7341,115982.4
2010-01-05,0.73405,0.739,0.73155,0.73345,125111.6
2010-01-06,0.7334,0.73855,0.73025,0.7378,127501.6
2010-01-07,0.7378,0.74285,0.73092,0.7324,131586.4
2010-01-08,0.7324,0.738,0.7286,0.73635,108832.97
2010-01-10,0.73649,0.7403,0.73649,0.73995,6423.5
2010-01-11,0.73995,0.74355,0.73825,0.7415,111744.8
2010-01-12,0.7415,0.7432,0.73635,0.73795,141691.0
2010-01-13,0.7381,0.74255,0.73705,0.73995,119272.8
2010-01-14,0.73995,0.7442,0.7383,0.7419,105349.4
2010-01-15,0.74195,0.7423,0.73595,0.7372,101283.5
2010-01-17,0.73679,0.7368,0.7327,0.73525,9139.2
2010-01-18,0.73535,0.7408,0.73285,0.74055,65767.2
2010-01-19,0.74055,0.7406,0.7321,0.73345,112461.3
2010-01-20,0.73345,0.73425,0.71845,0.7214,137627.9
2010-01-21,0.7213,0.7233,0.70955,0.713,147559.01
2010-01-22,0.713,0.7177,0.709,0.70915,131274.3
2010-01-24,0.70957,0.7139,0.70957,0.71295,4348.6
2010-01-25,0.71295,0.71685,0.71125,0.7138,132661.35
2010-01-26,0.7138,0.7169,0.70215,0.7073,157715.5
2010-01-27,0.7073,0.7106,0.70295,0.7058,155164.9
2010-01-28,0.7058,0.7138,0.7026,0.7048,150934.1
2010-01-29,0.7048,0.7089,0.70039,0.70065,159767.3
2010-01-31,0.70056,0.70405,0.69929,0.70325,6783.0
2010-02-01,0.70325,0.7097,0.69945,0.70865,122258.9
2010-02-02,0.70865,0.71345,0.70315,0.7132,139173.1
2010-02-03,0.7132,0.71495,0.69655,0.6985,131689.6
2010-02-04,0.6985,0.6999,0.68435,0.68845,156255.6
2010-02-05,0.68845,0.6932,0.6807,0.68875,127582.1
2010-02-07,0.68911,0.69022,0.6856,0.6866,5402.9
2010-02-08,0.6866,0.6921,0.68165,0.68245,122099.46
2010-02-09,0.68245,0.69665,0.6824,0.6949,137968.75
2010-02-10,0.6949,0.69675,0.6895,0.6942,113944.02
2010-02-11,0.6942,0.70235,0.6942,0.6975,138303.76
2010-02-12,0.69745,0.6993,0.68985,0.69738,130353.4
2010-02-14,0.6969,0.6969,0.69453,0.6964,6584.1
2010-02-15,0.6964,0.69885,0.69545,0.6968,76995.7
2010-02-16,0.6968,0.70795,0.69645,0.70615,139961.88
2010-02-17,0.7062,0.70795,0.7009,0.7026,152501.57
2010-02-18,0.70265,0.7061,0.6945,0.69545,152363.3
2010-02-19,0.6954,0.69945,0.69305,0.6991,134434.9
2010-02-21,0.69938,0.70095,0.6991,0.7001,5696.7
2010-02-22,0.7001,0.70365,0.69945,0.70155,141135.4
2010-02-23,0.70155,0.7058,0.68945,0.69455,151528.06
2010-02-24,0.6946,0.69475,0.68705,0.6939,155188.32
2010-02-25,0.6939,0.6945,0.68465,0.6905,164948.89
2010-02-26,0.6905,0.70175,0.6904,0.6976,122823.6
2010-02-28,0.69801,0.7007,0.69783,0.69965,5281.52
2010-03-01,0.6997,0.70165,0.69305,0.69945,137408.2
2010-03-02,0.69945,0.69955,0.6923,0.69695,149173.76
2010-03-03,0.69695,0.69855,0.6892,0.69335,138642.3
