date,open,high,low,close,tick_volume
2005-01-02,1.20113,1.2024,1.19995,1.20079,14837.8
2005-01-03,1.20021,1.2121,1.1989,1.20772,173375.1
2005-01-04,1.20769,1.22665,1.20531,1.22126,177787.77
2005-01-05,1.22111,1.23256,1.22051,1.22429,176793.13
2005-01-06,1.22445,1.23914,1.22343,1.23503,175655.95
2005-01-07,1.23479,1.23791,1.22294,1.23121,169036.54
2005-01-09,1.23167,1.23378,1.23038,1.2314,15524.4
2005-01-10,1.23142,1.2319,1.21788,1.22088,176261.26
2005-01-11,1.22077,1.22327,1.21371,1.2185,179456.94
2005-01-12,1.21843,1.22138,1.1943,1.20124,175759.95
2005-01-13,1.20116,1.20544,1.19892,1.20221,179174.64
2005-01-14,1.20246,1.22085,1.20188,1.21725,174654.24
2005-01-16,1.21698,1.21774,1.21581,1.2172,14362.3
2005-01-17,1.21713,1.21946,1.21178,1.21837,172194.46
2005-01-18,1.21823,1.22585,1.21747,1.22396,122912.55
2005-01-19,1.22393,1.23047,1.21654,1.22843,179303.06
2005-01-20,1.22781,1.23616,1.22683,1.23331,180289.56
2005-01-21,1.23346,1.23498,1.2181,1.22199,168903.88
2005-01-23,1.22166,1.22188,1.22083,1.2212,15209.8
2005-01-24,1.22113,1.22656,1.21394,1.22367,174326.68
2005-01-25,1.22353,1.24037,1.22126,1.23484,176228.95
2005-01-26,1.23493,1.238,1.22742,1.23265,179196.53
2005-01-27,1.23258,1.2425,1.23088,1.23736,180574.8
2005-01-28,1.23733,1.24609,1.23704,1.23851,166060.65
2005-01-30,1.23868,1.24084,1.23843,1.23985,14560.6
2005-01-31,1.24007,1.24445,1.22924,1.2402,177147.54
2005-02-01,1.24013,1.24347,1.23142,1.23148,176041.65
2005-02-02,1.23151,1.24126,1.23066,1.23761,175994.49
2005-02-03,1.23733,1.24543,1.23705,1.2403,176439.55
2005-02-04,1.24046,1.24988,1.23686,1.24884,166255.23
2005-02-06,1.24856,1.24959,1.24822,1.2492,12720.9
2005-02-07,1.24913,1.25783,1.24802,1.2551,174045.93
2005-02-08,1.2551,1.25707,1.24499,1.24916,177377.65
2005-02-09,1.2489,1.25183,1.24536,1.2476,176587.35
2005-02-10,1.24753,1.25547,1.23829,1.2418,174134.64
2005-02-11,1.2418,1.24327,1.23553,1.23611,165364.01
2005-02-13,1.2358,1.23757,1.23401,1.23637,15347.2
2005-02-14,1.23627,1.23823,1.22862,1.2336,175217.63
2005-02-15,1.23388,1.2367,1.22826,1.23072,178075.85
2005-02-16,1.23085,1.24476,1.22882,1.23646,176211.18
2005-02-17,1.23655,1.2372,1.226,1.22811,174228.46
2005-02-18,1.22805,1.23306,1.22514,1.23119,166870.04
2005-02-20,1.23089,1.23192,1.23058,1.2308,13703.6
2005-02-21,1.23124,1.23549,1.22775,1.23392,171865.15
2005-02-22,1.23391,1.23489,1.22321,1.2258,178575.56
2005-02-23,1.2258,1.2492,1.22563,1.24794,181691.55
2005-02-24,1.248,1.24884,1.23756,1.23995,180667.6
2005-02-25,1.24024,1.24472,1.2376,1.23819,166945.34
2005-02-27,1.23789,1.23933,1.23757,1.23771,15164.7
2005-02-28,1.2377,1.23825,1.22674,1.23453,175718.86
2005-03-01,1.23446,1.24455,1.23191,1.24059,176803.05
2005-03-02,1.24038,1.2457,1.23733,1.238,178504.84
2005-03-03,1.23846,1.24886,1.23761,1.24356,176697.54
2005-03-04,1.2436,1.24491,1.22854,1.2312,165642.14
2005-03-06,1.23099,1.23212,1.23032,1.23087,13588.6
2005-03-07,1.23088,1.23459,1.22661,1.22854,173397.97
2005-03-08,1.22843,1.22983,1.21192,1.21232,176763.53
2005-03-09,1.2125,1.21364,1.19929,1.20614,177327.23
2005-03-10,1.20617,1.20664,1.19835,1.20245,178128.57
2005-03-11,1.20234,1.21068,1.19976,1.20605,168921.97
2005-03-13,1.20571,1.20618,1.20286,1.20329,14958.4
2005-03-14,1.20324,1.20926,1.20263,1.20741,174954.93
2005-03-15,1.20725,1.20859,1.19762,1.20714,174333.86
2005-03-16,1.20703,1.20775,1.1999,1.20344,176083.45
2005-03-17,1.20335,1.20902,1.19758,1.2011,178290.42
2005-03-18,1.20102,1.20737,1.19927,1.20181,166362.66
2005-03-20,1.20164,1.20368,1.20107,1.20288,18615.1
