date,open,high,low,close,tick_volume
2005-01-02,1.14055,1.14144,1.13765,1.13781,27104.5
2005-01-03,1.13777,1.15507,1.13713,1.14715,353776.54
2005-01-04,1.14721,1.17094,1.14408,1.16785,348459.72
2005-01-05,1.16789,1.17577,1.16467,1.16706,351647.09
2005-01-06,1.16697,1.17758,1.16657,1.1739,349490.12
2005-01-07,1.1737,1.18864,1.16727,1.18435,338797.74
2005-01-09,1.18573,1.18594,1.18327,1.18367,27870.2
2005-01-10,1.1839,1.18515,1.17834,1.17956,349443.16
2005-01-11,1.17961,1.18374,1.17298,1.18208,353577.58
2005-01-12,1.18229,1.18396,1.16253,1.16754,355298.1
2005-01-13,1.16753,1.17398,1.16631,1.1722,354548.88
2005-01-14,1.17215,1.18674,1.17166,1.17944,330468.08
2005-01-16,1.17923,1.18119,1.17895,1.18111,26240.3
2005-01-17,1.18118,1.18492,1.17473,1.18409,351814.83
2005-01-18,1.18457,1.19031,1.1803,1.18552,239810.03
2005-01-19,1.18562,1.18977,1.17485,1.18542,347237.12
2005-01-20,1.18522,1.19231,1.18308,1.18992,354269.1
2005-01-21,1.19017,1.19651,1.18354,1.18545,330309.28
2005-01-23,1.18495,1.186,1.18463,1.1859,27039.8
2005-01-24,1.18592,1.1869,1.1789,1.18482,350768.86
2005-01-25,1.18487,1.19693,1.1803,1.19352,349090.06
2005-01-26,1.19347,1.19391,1.18017,1.18268,349730.96
2005-01-27,1.18286,1.18805,1.17786,1.18456,349300.08
2005-01-28,1.1846,1.19196,1.182,1.18638,332680.44
2005-01-30,1.18665,1.19074,1.18665,1.189,25895.2
2005-01-31,1.18897,1.19405,1.18538,1.18766,354270.22
2005-02-01,1.18766,1.19539,1.18706,1.19093,352742.48
2005-02-02,1.19082,1.19607,1.18551,1.19307,352975.69
2005-02-03,1.19305,1.20474,1.19226,1.20264,352042.48
2005-02-04,1.20267,1.21176,1.19514,1.21107,333303.8
2005-02-06,1.21086,1.21271,1.21001,1.21197,27359.1
2005-02-07,1.21201,1.22601,1.21029,1.22323,349347.18
2005-02-08,1.22342,1.22486,1.21731,1.221,347994.36
2005-02-09,1.221,1.22343,1.21488,1.21623,353508.32
2005-02-10,1.2164,1.2241,1.20365,1.20728,352520.24
2005-02-11,1.20715,1.21175,1.20426,1.2105,331757.86
2005-02-13,1.21012,1.21043,1.20686,1.20845,26760.4
2005-02-14,1.20847,1.20847,1.19603,1.19763,350984.16
2005-02-15,1.19797,1.19983,1.1877,1.18909,349849.74
2005-02-16,1.18909,1.19443,1.18303,1.18796,353070.9
2005-02-17,1.18791,1.18946,1.17979,1.18361,351353.86
2005-02-18,1.18376,1.1893,1.18107,1.18268,331568.64
2005-02-20,1.18304,1.1853,1.18237,1.18275,26433.3
2005-02-21,1.1828,1.18575,1.1805,1.1827,353654.22
2005-02-22,1.18268,1.18376,1.15701,1.1586,355430.38
2005-02-23,1.15868,1.1667,1.15766,1.1637,353497.02
2005-02-24,1.16341,1.17175,1.1591,1.16991,352529.25
2005-02-25,1.16984,1.17374,1.16108,1.16168,330331.9
2005-02-27,1.16147,1.16304,1.16119,1.16128,26189.1
2005-02-28,1.1613,1.16487,1.15757,1.16365,352590.48
2005-03-01,1.16377,1.16841,1.16049,1.16701,351207.83
2005-03-02,1.16688,1.17745,1.16602,1.17351,352717.18
2005-03-03,1.1736,1.1824,1.1729,1.18103,355164.1
2005-03-04,1.1812,1.18204,1.16633,1.1693,334133.92
2005-03-06,1.16905,1.16953,1.16804,1.16911,25798.7
2005-03-07,1.16929,1.1778,1.16795,1.17427,349552.2
2005-03-08,1.17443,1.1755,1.1582,1.16089,347989.54
2005-03-09,1.16096,1.16452,1.15519,1.16007,353924.76
2005-03-10,1.16011,1.16049,1.1512,1.15225,355192.9
2005-03-11,1.15227,1.15619,1.14811,1.1501,330171.44
2005-03-13,1.14961,1.15123,1.14832,1.1487,26506.4
2005-03-14,1.14866,1.16372,1.14816,1.15989,351461.08
2005-03-15,1.15977,1.16698,1.15556,1.16529,352448.2
2005-03-16,1.16519,1.16646,1.15018,1.15311,356340.58
2005-03-17,1.1531,1.15946,1.15204,1.15725,351633.63
2005-03-18,1.15738,1.16858,1.15637,1.16358,333510.02
2005-03-20,1.16355,1.16498,1.16355,1.16402,25989.2
2005-03-21,1.16405,1.18076,1.16376,1.17877,349050.86
2005-03-22,1.17885,1.19172,1.17429,1.18873,352293.98
2005-03-23,1.18872,1.19873,1.18736,1.19574,361723.0
2005-03-24,1.19579,1.2026,1.19121,1.20226,355200.43
2005-03-25,1.20233,1.20249,1.19768,1.19913,333448.46
2005-03-27,1.19862,1.20054,1.19802,1.19904,26853.5
2005-03-28,1.19927,1.20818,1.1988,1.20437,365019.54
2005-03-29,1.20457,1.20481,1.19728,1.2001,366112.04
2005-03-30,1.20018,1.20171,1.19219,1.19899,370450.08
2005-03-31,1.19917,1.19933,1.18921,1.19641,367928.08
2005-04-01,1.19653,1.20738,1.18905,1.20229,343941.7
2005-04-03,1.20235,1.20535,1.20235,1.20494,29833.3
2005-04-04,1.20486,1.21239,1.20248,1.20877,369954.55
2005-04-05,1.20888,1.21415,1.20356,1.20723,371419.7
2005-04-06,1.20712,1.20817,1.20053,1.20496,365725.64
2005-04-07,1.20489,1.20848,1.19718,1.20838,409954.74
2005-04-08,1.20848,1.21112,1.19633,1.19677,346706.01
2005-04-10,1.1966,1.19873,1.19632,1.19745,31204.1
2005-04-11,1.1975,1.19962,1.18934,1.19269,367500.31
2005-04-12,1.1927,1.20435,1.19042,1.20052,360363.88
2005-04-13,1.20045,1.20736,1.19453,1.20033,360590.36
2005-04-14,1.20028,1.21924,1.19989,1.21313,356152.36
2005-04-15,1.21337,1.21668,1.19879,1.20015,333168.44
2005-04-17,1.20036,1.20079,1.19917,1.19995,30081.7
2005-04-18,1.2001,1.20414,1.18488,1.18828,357070.06
2005-04-19,1.18857,1.1904,1.17881,1.18053,356041.45
2005-04-20,1.18035,1.18903,1.17437,1.1754,357702.82
2005-04-21,1.1752,1.18549,1.17374,1.18336,356463.1
2005-04-22,1.1837,1.18537,1.17779,1.18044,337808.58
2005-04-24,1.18023,1.18321,1.17995,1.18256,28682.4
2005-04-25,1.1823,1.19184,1.18218,1.18831,357424.22
2005-04-26,1.1884,1.19118,1.18528,1.18788,357643.18
2005-04-27,1.1877,1.19619,1.1854,1.19202,359574.48
2005-04-28,1.19215,1.19545,1.18819,1.19147,359387.9
2005-04-29,1.19158,1.19761,1.18383,1.19504,338669.98
2005-05-01,1.19534,1.19735,1.19513,1.19721,28249.9
2005-05-02,1.19723,1.2009,1.19531,1.19778,353179.36
2005-05-03,1.1977,1.20146,1.19362,1.19802,357189.0
2005-05-04,1.19813,1.19837,1.18786,1.19163,356247.02
2005-05-05,1.19146,1.19771,1.18889,1.19398,358687.28
2005-05-06,1.19393,1.20834,1.19239,1.20533,338323.24
2005-05-08,1.20562,1.20758,1.20562,1.20728,28046.9
2005-05-09,1.2074,1.20923,1.20254,1.20533,361593.86
2005-05-10,1.205,1.20671,1.19908,1.20058,354911.7
2005-05-11,1.2008,1.20962,1.19609,1.206,355324.72
2005-05-12,1.20588,1.2178,1.20557,1.21661,354282.34
2005-05-13,1.2166,1.22512,1.21546,1.22353,337802.42
2005-05-15,1.22363,1.22837,1.22363,1.22686,30173.2
2005-05-16,1.2268,1.22865,1.22073,1.2231,355236.34
2005-05-17,1.22283,1.2268,1.21916,1.22641,355067.14
2005-05-18,1.22638,1.22675,1.21598,1.21808,355523.56
2005-05-19,1.21795,1.22562,1.21473,1.22247,360627.71
2005-05-20,1.22251,1.23588,1.22036,1.23291,339564.68
2005-05-22,1.23279,1.23508,1.23279,1.23457,28048.4
2005-05-23,1.23417,1.23482,1.22811,1.23096,354142.06
2005-05-24,1.2309,1.23252,1.22438,1.23104,355379.96
2005-05-25,1.2313,1.23165,1.22465,1.22687,354034.74
2005-05-26,1.2271,1.2377,1.22579,1.23607,352351.38
2005-05-27,1.23611,1.23637,1.22974,1.23056,334275.02
2005-05-29,1.2311,1.23497,1.2311,1.23425,29857.5
2005-05-30,1.2347,1.23967,1.23168,1.2379,361256.3
2005-05-31,1.2379,1.24936,1.23772,1.24815,347773.96
2005-06-01,1.24815,1.25962,1.24468,1.25601,353650.23
2005-06-02,1.256,1.25752,1.24702,1.25097,353247.36
2005-06-03,1.251,1.25594,1.24543,1.2526,336482.46
2005-06-05,1.2525,1.25382,1.25231,1.25336,27113.1
2005-06-06,1.25319,1.25319,1.24628,1.2489,354652.84
2005-06-07,1.249,1.25105,1.24259,1.2455,356778.14
2005-06-08,1.24577,1.25741,1.24091,1.25359,344462.04
2005-06-09,1.2536,1.25907,1.25109,1.25368,356370.56
2005-06-10,1.25425,1.26998,1.25199,1.26902,331706.88
2005-06-12,1.26868,1.26945,1.26749,1.2687,27962.6
2005-06-13,1.26869,1.2784,1.26792,1.27152,353697.9
2005-06-14,1.27134,1.27884,1.26687,1.27709,355222.38
2005-06-15,1.27702,1.27882,1.26865,1.27123,353869.66
2005-06-16,1.27106,1.27695,1.26553,1.27142,354946.58
2005-06-17,1.27144,1.27323,1.25621,1.25698,333096.18
2005-06-19,1.25778,1.26583,1.25778,1.26356,28773.7
2005-06-20,1.26364,1.27352,1.26107,1.2717,357069.34
2005-06-21,1.2716,1.27816,1.26289,1.26492,352146.11
2005-06-22,1.26485,1.27461,1.26206,1.2708,352939.16
2005-06-23,1.27087,1.28121,1.26928,1.28061,349610.04
2005-06-24,1.28085,1.28419,1.27296,1.27445,335624.26
2005-06-26,1.27362,1.27446,1.26892,1.27043,28405.2
2005-06-27,1.27025,1.27191,1.26566,1.26774,353420.12
2005-06-28,1.26772,1.282,1.26687,1.27936,351601.98
2005-06-29,1.27936,1.28753,1.277,1.28046,353160.96
2005-06-30,1.28079,1.28585,1.27822,1.28303,356798.73
2005-07-01,1.28268,1.29794,1.28146,1.29625,333630.09
2005-07-03,1.29657,1.29937,1.29657,1.29805,28659.8
2005-07-04,1.29808,1.30425,1.29644,1.30316,360499.68
2005-07-05,1.30319,1.3071,1.29949,1.30241,357001.96
2005-07-06,1.30225,1.30677,1.29977,1.30224,356462.68
2005-07-07,1.30247,1.30489,1.28378,1.29897,355641.5
2005-07-08,1.2989,1.30709,1.29607,1.2987,339544.44
2005-07-10,1.29855,1.30036,1.2985,1.29968,29529.8
2005-07-11,1.29973,1.30054,1.28556,1.2887,353491.78
